INFO: November 20, 2018 [15:20:42] 4.0.0 NVIDIA 388.13
INFO: November 20, 2018 [15:20:44] FPS: 3371, TICKS: 55
INFO: November 20, 2018 [15:20:45] FPS: 4437, TICKS: 60
INFO: November 20, 2018 [15:20:46] FPS: 4687, TICKS: 59
INFO: November 20, 2018 [15:20:47] FPS: 4585, TICKS: 60
INFO: November 20, 2018 [15:20:48] FPS: 4566, TICKS: 60
INFO: November 20, 2018 [15:20:49] FPS: 4120, TICKS: 59
INFO: November 20, 2018 [15:20:50] FPS: 4492, TICKS: 60
INFO: November 20, 2018 [15:20:51] FPS: 4508, TICKS: 59
INFO: November 20, 2018 [15:20:52] FPS: 4576, TICKS: 60
INFO: November 20, 2018 [15:20:53] FPS: 4641, TICKS: 59
INFO: November 20, 2018 [15:20:54] FPS: 4590, TICKS: 60
INFO: November 20, 2018 [15:20:55] FPS: 4635, TICKS: 60
INFO: November 20, 2018 [15:20:56] FPS: 4640, TICKS: 59
INFO: November 20, 2018 [15:20:57] FPS: 4640, TICKS: 60
INFO: November 20, 2018 [15:20:58] FPS: 4484, TICKS: 59
INFO: November 20, 2018 [15:20:59] FPS: 4423, TICKS: 60
INFO: November 20, 2018 [15:21:00] FPS: 4682, TICKS: 59
INFO: November 20, 2018 [15:21:01] FPS: 4678, TICKS: 60
INFO: November 20, 2018 [15:21:02] FPS: 4505, TICKS: 60
INFO: November 20, 2018 [15:21:03] FPS: 4725, TICKS: 59
INFO: November 20, 2018 [15:21:04] FPS: 4711, TICKS: 60
INFO: November 20, 2018 [15:21:05] FPS: 4683, TICKS: 60
INFO: November 20, 2018 [15:21:06] FPS: 4453, TICKS: 59
INFO: November 20, 2018 [15:21:07] FPS: 4391, TICKS: 60
INFO: November 20, 2018 [15:21:08] FPS: 4636, TICKS: 59
INFO: November 20, 2018 [15:21:09] FPS: 4710, TICKS: 60
INFO: November 20, 2018 [15:21:10] FPS: 4740, TICKS: 60
INFO: November 20, 2018 [15:21:11] FPS: 4810, TICKS: 59
INFO: November 20, 2018 [15:21:12] FPS: 4688, TICKS: 60
INFO: November 20, 2018 [15:21:13] FPS: 4683, TICKS: 59
INFO: November 20, 2018 [15:21:14] FPS: 4658, TICKS: 60
INFO: November 20, 2018 [15:21:15] FPS: 4365, TICKS: 60
INFO: November 20, 2018 [15:21:16] FPS: 4537, TICKS: 59
INFO: November 20, 2018 [15:21:17] FPS: 4624, TICKS: 60
INFO: November 20, 2018 [15:21:18] FPS: 4521, TICKS: 59
INFO: November 20, 2018 [15:21:19] FPS: 4638, TICKS: 60
INFO: November 20, 2018 [15:21:20] FPS: 4682, TICKS: 60
INFO: November 20, 2018 [15:21:21] FPS: 4654, TICKS: 59
INFO: November 20, 2018 [15:21:22] FPS: 4692, TICKS: 60
INFO: November 20, 2018 [15:21:23] FPS: 4712, TICKS: 59
INFO: November 20, 2018 [15:21:24] FPS: 4662, TICKS: 60
INFO: November 20, 2018 [15:21:25] FPS: 4666, TICKS: 60
INFO: November 20, 2018 [15:21:26] FPS: 4708, TICKS: 59
INFO: November 20, 2018 [15:21:27] FPS: 4687, TICKS: 60
INFO: November 20, 2018 [15:21:28] FPS: 4659, TICKS: 60
INFO: November 20, 2018 [15:21:29] FPS: 4605, TICKS: 59
INFO: November 20, 2018 [15:21:30] FPS: 4706, TICKS: 60
INFO: November 20, 2018 [15:21:31] FPS: 4685, TICKS: 59
INFO: November 20, 2018 [15:21:32] FPS: 3841, TICKS: 60
INFO: November 20, 2018 [15:21:33] FPS: 4632, TICKS: 60
INFO: November 20, 2018 [15:21:34] FPS: 4639, TICKS: 59
INFO: November 20, 2018 [15:21:35] FPS: 4702, TICKS: 60
INFO: November 20, 2018 [15:21:36] FPS: 4720, TICKS: 59
INFO: November 20, 2018 [15:21:37] FPS: 4681, TICKS: 60
INFO: November 20, 2018 [15:21:38] FPS: 4715, TICKS: 59
INFO: November 20, 2018 [15:21:39] FPS: 4731, TICKS: 60
INFO: November 20, 2018 [15:21:40] FPS: 4806, TICKS: 60
INFO: November 20, 2018 [15:21:41] FPS: 4695, TICKS: 59
INFO: November 20, 2018 [15:21:42] FPS: 4752, TICKS: 60
INFO: November 20, 2018 [15:21:43] FPS: 4762, TICKS: 60
INFO: November 20, 2018 [15:21:44] FPS: 4670, TICKS: 59
INFO: November 20, 2018 [15:21:45] FPS: 4711, TICKS: 60
INFO: November 20, 2018 [15:21:46] FPS: 4713, TICKS: 59
INFO: November 20, 2018 [15:21:47] FPS: 4690, TICKS: 60
INFO: November 20, 2018 [15:21:48] FPS: 4675, TICKS: 59
INFO: November 20, 2018 [15:21:49] FPS: 4427, TICKS: 60
INFO: November 20, 2018 [15:21:50] FPS: 4345, TICKS: 60
INFO: November 20, 2018 [15:21:51] FPS: 4689, TICKS: 59
INFO: November 20, 2018 [15:21:52] FPS: 4656, TICKS: 60
INFO: November 20, 2018 [15:21:53] FPS: 4609, TICKS: 59
INFO: November 20, 2018 [15:21:54] FPS: 4727, TICKS: 60
INFO: November 20, 2018 [15:21:55] FPS: 4620, TICKS: 60
INFO: November 20, 2018 [15:21:56] FPS: 4662, TICKS: 59
