INFO: November 20, 2018 [15:12:58] 4.0.0 NVIDIA 388.13
INFO: November 20, 2018 [15:13:00] FPS: 3710, TICKS: 55
INFO: November 20, 2018 [15:13:01] FPS: 4709, TICKS: 59
INFO: November 20, 2018 [15:13:02] FPS: 4513, TICKS: 60
INFO: November 20, 2018 [15:13:03] FPS: 4628, TICKS: 60
INFO: November 20, 2018 [15:13:04] FPS: 4624, TICKS: 59
INFO: November 20, 2018 [15:13:05] FPS: 4464, TICKS: 60
INFO: November 20, 2018 [15:13:06] FPS: 4621, TICKS: 60
INFO: November 20, 2018 [15:13:07] FPS: 4688, TICKS: 59
INFO: November 20, 2018 [15:13:08] FPS: 4671, TICKS: 60
INFO: November 20, 2018 [15:13:09] FPS: 4657, TICKS: 59
