INFO: November 20, 2018 [17:44:17] 4.0.0 NVIDIA 388.13
INFO: November 20, 2018 [17:44:19] FPS: 2717, TICKS: 52
INFO: November 20, 2018 [17:44:20] FPS: 3355, TICKS: 59
INFO: November 20, 2018 [17:44:21] FPS: 3149, TICKS: 60
INFO: November 20, 2018 [17:44:22] FPS: 3401, TICKS: 59
INFO: November 20, 2018 [17:44:23] FPS: 3512, TICKS: 60
INFO: November 20, 2018 [17:44:24] FPS: 3626, TICKS: 59
INFO: November 20, 2018 [17:44:25] FPS: 3505, TICKS: 59
INFO: November 20, 2018 [17:44:26] FPS: 3576, TICKS: 60
INFO: November 20, 2018 [17:44:27] FPS: 3580, TICKS: 60
INFO: November 20, 2018 [17:44:28] FPS: 3669, TICKS: 59
INFO: November 20, 2018 [17:44:29] FPS: 3528, TICKS: 59
INFO: November 20, 2018 [17:44:30] FPS: 3564, TICKS: 60
INFO: November 20, 2018 [17:44:31] FPS: 3555, TICKS: 59
INFO: November 20, 2018 [17:44:32] FPS: 3598, TICKS: 60
INFO: November 20, 2018 [17:44:33] FPS: 3520, TICKS: 59
INFO: November 20, 2018 [17:44:34] FPS: 3575, TICKS: 60
