INFO: December 03, 2018 [01:40:46] 4.0.13537 Core Profile Forward-Compatible Context 24.20.13001.1010
INFO: December 03, 2018 [01:40:48] FPS: 1584, TICKS: 48
INFO: December 03, 2018 [01:40:49] FPS: 2479, TICKS: 59
INFO: December 03, 2018 [01:40:50] FPS: 2458, TICKS: 59
INFO: December 03, 2018 [01:40:51] FPS: 2547, TICKS: 59
INFO: December 03, 2018 [01:40:52] FPS: 2506, TICKS: 60
INFO: December 03, 2018 [01:40:53] FPS: 2332, TICKS: 55
INFO: December 03, 2018 [01:40:54] FPS: 2577, TICKS: 59
INFO: December 03, 2018 [01:40:55] FPS: 2560, TICKS: 60
INFO: December 03, 2018 [01:40:56] FPS: 2545, TICKS: 59
INFO: December 03, 2018 [01:40:57] FPS: 2634, TICKS: 59
INFO: December 03, 2018 [01:40:58] FPS: 2638, TICKS: 60
INFO: December 03, 2018 [01:40:59] FPS: 2637, TICKS: 59
INFO: December 03, 2018 [01:41:00] FPS: 2627, TICKS: 59
INFO: December 03, 2018 [01:41:01] FPS: 2634, TICKS: 59
INFO: December 03, 2018 [01:41:02] FPS: 2607, TICKS: 60
INFO: December 03, 2018 [01:41:03] FPS: 2342, TICKS: 59
INFO: December 03, 2018 [01:41:04] FPS: 2539, TICKS: 59
INFO: December 03, 2018 [01:41:05] FPS: 2466, TICKS: 59
INFO: December 03, 2018 [01:41:06] FPS: 2638, TICKS: 60
INFO: December 03, 2018 [01:41:07] FPS: 2510, TICKS: 59
INFO: December 03, 2018 [01:41:08] FPS: 2582, TICKS: 59
INFO: December 03, 2018 [01:41:09] FPS: 2618, TICKS: 60
INFO: December 03, 2018 [01:41:10] FPS: 2599, TICKS: 59
INFO: December 03, 2018 [01:41:11] FPS: 2530, TICKS: 60
INFO: December 03, 2018 [01:41:12] FPS: 2313, TICKS: 59
INFO: December 03, 2018 [01:41:13] FPS: 2646, TICKS: 59
INFO: December 03, 2018 [01:41:14] FPS: 2618, TICKS: 59
INFO: December 03, 2018 [01:41:15] FPS: 2524, TICKS: 60
INFO: December 03, 2018 [01:41:16] FPS: 2525, TICKS: 59
INFO: December 03, 2018 [01:41:17] FPS: 2560, TICKS: 59
INFO: December 03, 2018 [01:41:18] FPS: 2534, TICKS: 59
INFO: December 03, 2018 [01:41:19] FPS: 2477, TICKS: 60
INFO: December 03, 2018 [01:41:20] FPS: 2501, TICKS: 59
INFO: December 03, 2018 [01:41:21] FPS: 2457, TICKS: 59
INFO: December 03, 2018 [01:41:22] FPS: 2552, TICKS: 59
INFO: December 03, 2018 [01:41:23] FPS: 2517, TICKS: 60
INFO: December 03, 2018 [01:41:24] FPS: 2512, TICKS: 59
INFO: December 03, 2018 [01:41:25] FPS: 2429, TICKS: 59
INFO: December 03, 2018 [01:41:26] FPS: 2513, TICKS: 59
INFO: December 03, 2018 [01:41:27] FPS: 2525, TICKS: 59
INFO: December 03, 2018 [01:41:28] FPS: 2480, TICKS: 59
INFO: December 03, 2018 [01:41:29] FPS: 2457, TICKS: 59
INFO: December 03, 2018 [01:41:30] FPS: 2519, TICKS: 60
INFO: December 03, 2018 [01:41:31] FPS: 2509, TICKS: 59
INFO: December 03, 2018 [01:41:32] FPS: 2495, TICKS: 59
INFO: December 03, 2018 [01:41:33] FPS: 2490, TICKS: 59
INFO: December 03, 2018 [01:41:34] FPS: 2497, TICKS: 60
INFO: December 03, 2018 [01:41:35] FPS: 2486, TICKS: 59
INFO: December 03, 2018 [01:41:36] FPS: 2494, TICKS: 59
