INFO: November 20, 2018 [17:46:22] 4.0.0 NVIDIA 388.13
INFO: November 20, 2018 [17:46:24] FPS: 2992, TICKS: 54
INFO: November 20, 2018 [17:46:25] FPS: 3873, TICKS: 60
INFO: November 20, 2018 [17:46:26] FPS: 3652, TICKS: 59
INFO: November 20, 2018 [17:46:27] FPS: 3602, TICKS: 59
INFO: November 20, 2018 [17:46:28] FPS: 3772, TICKS: 60
INFO: November 20, 2018 [17:46:29] FPS: 3620, TICKS: 59
INFO: November 20, 2018 [17:46:30] FPS: 3745, TICKS: 60
INFO: November 20, 2018 [17:46:31] FPS: 3548, TICKS: 59
INFO: November 20, 2018 [17:46:32] FPS: 3676, TICKS: 60
INFO: November 20, 2018 [17:46:33] FPS: 3739, TICKS: 59
INFO: November 20, 2018 [17:46:34] FPS: 3701, TICKS: 60
INFO: November 20, 2018 [17:46:35] FPS: 3935, TICKS: 59
INFO: November 20, 2018 [17:46:36] FPS: 3865, TICKS: 60
INFO: November 20, 2018 [17:46:37] FPS: 3922, TICKS: 59
INFO: November 20, 2018 [17:46:38] FPS: 3855, TICKS: 59
INFO: November 20, 2018 [17:46:39] FPS: 3719, TICKS: 60
INFO: November 20, 2018 [17:46:40] FPS: 3547, TICKS: 59
INFO: November 20, 2018 [17:46:41] FPS: 3668, TICKS: 60
INFO: November 20, 2018 [17:46:42] FPS: 3704, TICKS: 59
INFO: November 20, 2018 [17:46:43] FPS: 3727, TICKS: 60
INFO: November 20, 2018 [17:46:44] FPS: 3735, TICKS: 59
INFO: November 20, 2018 [17:46:45] FPS: 3870, TICKS: 60
INFO: November 20, 2018 [17:46:46] FPS: 3948, TICKS: 59
INFO: November 20, 2018 [17:46:47] FPS: 3909, TICKS: 60
INFO: November 20, 2018 [17:46:48] FPS: 3792, TICKS: 59
INFO: November 20, 2018 [17:46:49] FPS: 3730, TICKS: 60
INFO: November 20, 2018 [17:46:50] FPS: 4039, TICKS: 59
INFO: November 20, 2018 [17:46:51] FPS: 3998, TICKS: 60
INFO: November 20, 2018 [17:46:52] FPS: 3947, TICKS: 59
INFO: November 20, 2018 [17:46:53] FPS: 3895, TICKS: 60
INFO: November 20, 2018 [17:46:54] FPS: 4041, TICKS: 59
INFO: November 20, 2018 [17:46:55] FPS: 3961, TICKS: 60
INFO: November 20, 2018 [17:46:56] FPS: 3981, TICKS: 59
INFO: November 20, 2018 [17:46:57] FPS: 3656, TICKS: 59
INFO: November 20, 2018 [17:46:58] FPS: 3664, TICKS: 60
INFO: November 20, 2018 [17:46:59] FPS: 3666, TICKS: 59
INFO: November 20, 2018 [17:47:00] FPS: 3565, TICKS: 60
INFO: November 20, 2018 [17:47:01] FPS: 3728, TICKS: 59
INFO: November 20, 2018 [17:47:02] FPS: 3611, TICKS: 60
INFO: November 20, 2018 [17:47:03] FPS: 3880, TICKS: 59
INFO: November 20, 2018 [17:47:04] FPS: 3879, TICKS: 60
INFO: November 20, 2018 [17:47:05] FPS: 3965, TICKS: 59
INFO: November 20, 2018 [17:47:06] FPS: 3801, TICKS: 60
INFO: November 20, 2018 [17:47:07] FPS: 3861, TICKS: 59
INFO: November 20, 2018 [17:47:08] FPS: 3669, TICKS: 60
INFO: November 20, 2018 [17:47:09] FPS: 3581, TICKS: 59
