INFO: December 03, 2018 [01:59:43] 4.0.13537 Core Profile Forward-Compatible Context 24.20.13001.1010
INFO: December 03, 2018 [01:59:44] FPS: 1841, TICKS: 51
INFO: December 03, 2018 [01:59:45] FPS: 2501, TICKS: 59
INFO: December 03, 2018 [01:59:46] FPS: 2475, TICKS: 59
INFO: December 03, 2018 [01:59:47] FPS: 2454, TICKS: 59
INFO: December 03, 2018 [01:59:48] FPS: 2579, TICKS: 59
INFO: December 03, 2018 [01:59:49] FPS: 2571, TICKS: 60
INFO: December 03, 2018 [01:59:50] FPS: 2533, TICKS: 59
INFO: December 03, 2018 [01:59:51] FPS: 2580, TICKS: 59
INFO: December 03, 2018 [01:59:52] FPS: 2585, TICKS: 59
INFO: December 03, 2018 [01:59:53] FPS: 2580, TICKS: 59
INFO: December 03, 2018 [01:59:54] FPS: 2581, TICKS: 59
INFO: December 03, 2018 [01:59:55] FPS: 2570, TICKS: 59
INFO: December 03, 2018 [01:59:56] FPS: 2580, TICKS: 59
INFO: December 03, 2018 [01:59:57] FPS: 2582, TICKS: 59
INFO: December 03, 2018 [01:59:58] FPS: 2581, TICKS: 59
INFO: December 03, 2018 [01:59:59] FPS: 2581, TICKS: 60
INFO: December 03, 2018 [02:00:00] FPS: 2562, TICKS: 59
INFO: December 03, 2018 [02:00:01] FPS: 2581, TICKS: 59
INFO: December 03, 2018 [02:00:02] FPS: 2578, TICKS: 59
INFO: December 03, 2018 [02:00:03] FPS: 2572, TICKS: 59
INFO: December 03, 2018 [02:00:04] FPS: 2577, TICKS: 60
INFO: December 03, 2018 [02:00:05] FPS: 2564, TICKS: 59
INFO: December 03, 2018 [02:00:06] FPS: 2571, TICKS: 59
INFO: December 03, 2018 [02:00:07] FPS: 2578, TICKS: 59
INFO: December 03, 2018 [02:00:08] FPS: 2587, TICKS: 59
INFO: December 03, 2018 [02:00:09] FPS: 2582, TICKS: 59
INFO: December 03, 2018 [02:00:10] FPS: 2572, TICKS: 59
INFO: December 03, 2018 [02:00:11] FPS: 2584, TICKS: 59
INFO: December 03, 2018 [02:00:12] FPS: 2581, TICKS: 59
INFO: December 03, 2018 [02:00:13] FPS: 2582, TICKS: 60
INFO: December 03, 2018 [02:00:14] FPS: 2585, TICKS: 59
INFO: December 03, 2018 [02:00:15] FPS: 2573, TICKS: 59
INFO: December 03, 2018 [02:00:16] FPS: 2587, TICKS: 59
INFO: December 03, 2018 [02:00:17] FPS: 2582, TICKS: 59
INFO: December 03, 2018 [02:00:18] FPS: 2570, TICKS: 59
INFO: December 03, 2018 [02:00:19] FPS: 2582, TICKS: 59
INFO: December 03, 2018 [02:00:20] FPS: 2571, TICKS: 59
INFO: December 03, 2018 [02:00:21] FPS: 2582, TICKS: 60
INFO: December 03, 2018 [02:00:22] FPS: 2585, TICKS: 59
INFO: December 03, 2018 [02:00:23] FPS: 2578, TICKS: 59
INFO: December 03, 2018 [02:00:24] FPS: 2579, TICKS: 59
INFO: December 03, 2018 [02:00:25] FPS: 2574, TICKS: 59
INFO: December 03, 2018 [02:00:26] FPS: 2584, TICKS: 59
INFO: December 03, 2018 [02:00:27] FPS: 2584, TICKS: 59
INFO: December 03, 2018 [02:00:28] FPS: 2582, TICKS: 59
INFO: December 03, 2018 [02:00:29] FPS: 2579, TICKS: 59
INFO: December 03, 2018 [02:00:30] FPS: 2497, TICKS: 60
INFO: December 03, 2018 [02:00:31] FPS: 2438, TICKS: 59
INFO: December 03, 2018 [02:00:32] FPS: 2428, TICKS: 59
INFO: December 03, 2018 [02:00:33] FPS: 2126, TICKS: 59
INFO: December 03, 2018 [02:00:34] FPS: 2078, TICKS: 58
INFO: December 03, 2018 [02:00:35] FPS: 2022, TICKS: 59
INFO: December 03, 2018 [02:00:36] FPS: 2180, TICKS: 59
INFO: December 03, 2018 [02:00:37] FPS: 1999, TICKS: 57
INFO: December 03, 2018 [02:00:38] FPS: 1973, TICKS: 59
INFO: December 03, 2018 [02:00:39] FPS: 2219, TICKS: 59
INFO: December 03, 2018 [02:00:40] FPS: 1987, TICKS: 57
INFO: December 03, 2018 [02:00:41] FPS: 1868, TICKS: 59
INFO: December 03, 2018 [02:00:42] FPS: 2268, TICKS: 59
INFO: December 03, 2018 [02:00:43] FPS: 2458, TICKS: 59
INFO: December 03, 2018 [02:00:44] FPS: 2210, TICKS: 59
INFO: December 03, 2018 [02:00:45] FPS: 2541, TICKS: 59
INFO: December 03, 2018 [02:00:46] FPS: 2559, TICKS: 60
INFO: December 03, 2018 [02:00:47] FPS: 2557, TICKS: 59
INFO: December 03, 2018 [02:00:48] FPS: 2406, TICKS: 58
INFO: December 03, 2018 [02:00:49] FPS: 2546, TICKS: 59
INFO: December 03, 2018 [02:00:50] FPS: 2570, TICKS: 59
INFO: December 03, 2018 [02:00:51] FPS: 2578, TICKS: 60
INFO: December 03, 2018 [02:00:52] FPS: 2571, TICKS: 59
INFO: December 03, 2018 [02:00:53] FPS: 2461, TICKS: 59
INFO: December 03, 2018 [02:00:54] FPS: 2449, TICKS: 59
INFO: December 03, 2018 [02:00:55] FPS: 2493, TICKS: 59
INFO: December 03, 2018 [02:00:56] FPS: 2575, TICKS: 59
INFO: December 03, 2018 [02:00:57] FPS: 2511, TICKS: 60
INFO: December 03, 2018 [02:00:58] FPS: 2530, TICKS: 59
INFO: December 03, 2018 [02:00:59] FPS: 2559, TICKS: 59
INFO: December 03, 2018 [02:01:00] FPS: 2519, TICKS: 59
INFO: December 03, 2018 [02:01:01] FPS: 2534, TICKS: 59
INFO: December 03, 2018 [02:01:02] FPS: 2284, TICKS: 58
INFO: December 03, 2018 [02:01:03] FPS: 2368, TICKS: 59
INFO: December 03, 2018 [02:01:04] FPS: 2487, TICKS: 59
INFO: December 03, 2018 [02:01:05] FPS: 2497, TICKS: 59
INFO: December 03, 2018 [02:01:06] FPS: 2393, TICKS: 58
INFO: December 03, 2018 [02:01:07] FPS: 2359, TICKS: 59
INFO: December 03, 2018 [02:01:08] FPS: 2473, TICKS: 60
INFO: December 03, 2018 [02:01:09] FPS: 2532, TICKS: 59
INFO: December 03, 2018 [02:01:10] FPS: 2521, TICKS: 59
INFO: December 03, 2018 [02:01:11] FPS: 2554, TICKS: 59
INFO: December 03, 2018 [02:01:12] FPS: 2511, TICKS: 60
INFO: December 03, 2018 [02:01:13] FPS: 2413, TICKS: 59
INFO: December 03, 2018 [02:01:14] FPS: 2474, TICKS: 59
INFO: December 03, 2018 [02:01:15] FPS: 2508, TICKS: 59
INFO: December 03, 2018 [02:01:16] FPS: 2456, TICKS: 59
INFO: December 03, 2018 [02:01:17] FPS: 2422, TICKS: 59
INFO: December 03, 2018 [02:01:18] FPS: 2397, TICKS: 60
INFO: December 03, 2018 [02:01:19] FPS: 2261, TICKS: 59
INFO: December 03, 2018 [02:01:20] FPS: 2257, TICKS: 59
INFO: December 03, 2018 [02:01:21] FPS: 2422, TICKS: 59
INFO: December 03, 2018 [02:01:22] FPS: 2431, TICKS: 60
INFO: December 03, 2018 [02:01:23] FPS: 2533, TICKS: 59
INFO: December 03, 2018 [02:01:24] FPS: 2542, TICKS: 59
INFO: December 03, 2018 [02:01:25] FPS: 2534, TICKS: 59
INFO: December 03, 2018 [02:01:26] FPS: 2545, TICKS: 60
INFO: December 03, 2018 [02:01:27] FPS: 2550, TICKS: 59
INFO: December 03, 2018 [02:01:28] FPS: 2550, TICKS: 59
INFO: December 03, 2018 [02:01:29] FPS: 2543, TICKS: 60
INFO: December 03, 2018 [02:01:30] FPS: 2534, TICKS: 59
INFO: December 03, 2018 [02:01:31] FPS: 2468, TICKS: 58
INFO: December 03, 2018 [02:01:32] FPS: 2545, TICKS: 59
INFO: December 03, 2018 [02:01:33] FPS: 2560, TICKS: 59
