INFO: November 20, 2018 [15:18:46] 4.0.0 NVIDIA 388.13
INFO: November 20, 2018 [15:18:48] FPS: 3731, TICKS: 56
INFO: November 20, 2018 [15:18:49] FPS: 4588, TICKS: 59
INFO: November 20, 2018 [15:18:50] FPS: 4586, TICKS: 60
INFO: November 20, 2018 [15:18:51] FPS: 4660, TICKS: 60
INFO: November 20, 2018 [15:18:52] FPS: 4651, TICKS: 59
INFO: November 20, 2018 [15:18:53] FPS: 4659, TICKS: 60
INFO: November 20, 2018 [15:18:54] FPS: 4692, TICKS: 60
INFO: November 20, 2018 [15:18:55] FPS: 4678, TICKS: 59
INFO: November 20, 2018 [15:18:56] FPS: 4706, TICKS: 60
INFO: November 20, 2018 [15:18:57] FPS: 4671, TICKS: 59
INFO: November 20, 2018 [15:18:58] FPS: 4605, TICKS: 60
INFO: November 20, 2018 [15:18:59] FPS: 4673, TICKS: 60
INFO: November 20, 2018 [15:19:00] FPS: 4678, TICKS: 59
INFO: November 20, 2018 [15:19:01] FPS: 4646, TICKS: 60
INFO: November 20, 2018 [15:19:02] FPS: 4445, TICKS: 60
INFO: November 20, 2018 [15:19:03] FPS: 4687, TICKS: 59
