INFO: November 20, 2018 [14:57:13] 4.0.0 NVIDIA 388.13
INFO: November 20, 2018 [14:57:15] FPS: 3465, TICKS: 54
INFO: November 20, 2018 [14:57:16] FPS: 4241, TICKS: 60
INFO: November 20, 2018 [14:57:17] FPS: 4588, TICKS: 59
INFO: November 20, 2018 [14:57:18] FPS: 4629, TICKS: 60
INFO: November 20, 2018 [14:57:19] FPS: 4607, TICKS: 59
INFO: November 20, 2018 [14:57:20] FPS: 4614, TICKS: 60
INFO: November 20, 2018 [14:57:21] FPS: 4618, TICKS: 60
INFO: November 20, 2018 [14:57:22] FPS: 4633, TICKS: 59
INFO: November 20, 2018 [14:57:23] FPS: 4622, TICKS: 60
INFO: November 20, 2018 [14:57:24] FPS: 4618, TICKS: 59
INFO: November 20, 2018 [14:57:25] FPS: 4645, TICKS: 60
INFO: November 20, 2018 [14:57:26] FPS: 4639, TICKS: 60
INFO: November 20, 2018 [14:57:27] FPS: 4666, TICKS: 59
INFO: November 20, 2018 [14:57:28] FPS: 4591, TICKS: 60
INFO: November 20, 2018 [14:57:29] FPS: 4626, TICKS: 59
INFO: November 20, 2018 [14:57:30] FPS: 4649, TICKS: 60
INFO: November 20, 2018 [14:57:31] FPS: 4709, TICKS: 60
INFO: November 20, 2018 [14:57:32] FPS: 4655, TICKS: 59
INFO: November 20, 2018 [14:57:33] FPS: 4587, TICKS: 60
INFO: November 20, 2018 [14:57:34] FPS: 4601, TICKS: 59
INFO: November 20, 2018 [14:57:35] FPS: 4673, TICKS: 60
INFO: November 20, 2018 [14:57:36] FPS: 4632, TICKS: 60
INFO: November 20, 2018 [14:57:37] FPS: 4603, TICKS: 59
INFO: November 20, 2018 [14:57:38] FPS: 4680, TICKS: 60
INFO: November 20, 2018 [14:57:39] FPS: 4614, TICKS: 59
INFO: November 20, 2018 [14:57:40] FPS: 4755, TICKS: 60
