INFO: November 20, 2018 [13:48:52] 4.0.0 NVIDIA 388.13
INFO: November 20, 2018 [13:48:53] FPS: 3960, TICKS: 54
INFO: November 20, 2018 [13:48:54] FPS: 4964, TICKS: 60
INFO: November 20, 2018 [13:48:55] FPS: 4917, TICKS: 60
INFO: November 20, 2018 [13:48:56] FPS: 4841, TICKS: 59
INFO: November 20, 2018 [13:48:57] FPS: 4922, TICKS: 60
INFO: November 20, 2018 [13:48:58] FPS: 4920, TICKS: 59
INFO: November 20, 2018 [13:48:59] FPS: 4897, TICKS: 60
INFO: November 20, 2018 [13:49:00] FPS: 4918, TICKS: 60
INFO: November 20, 2018 [13:49:01] FPS: 4810, TICKS: 59
INFO: November 20, 2018 [13:49:02] FPS: 4741, TICKS: 60
INFO: November 20, 2018 [13:49:03] FPS: 4950, TICKS: 60
INFO: November 20, 2018 [13:49:04] FPS: 4786, TICKS: 59
INFO: November 20, 2018 [13:49:05] FPS: 4898, TICKS: 60
INFO: November 20, 2018 [13:49:06] FPS: 4980, TICKS: 59
INFO: November 20, 2018 [13:49:07] FPS: 5021, TICKS: 60
INFO: November 20, 2018 [13:49:08] FPS: 4716, TICKS: 60
INFO: November 20, 2018 [13:49:09] FPS: 4678, TICKS: 59
INFO: November 20, 2018 [13:49:10] FPS: 4934, TICKS: 60
INFO: November 20, 2018 [13:49:11] FPS: 4596, TICKS: 59
INFO: November 20, 2018 [13:49:12] FPS: 4844, TICKS: 60
INFO: November 20, 2018 [13:49:13] FPS: 4782, TICKS: 60
INFO: November 20, 2018 [13:49:14] FPS: 4600, TICKS: 59
INFO: November 20, 2018 [13:49:15] FPS: 4187, TICKS: 60
INFO: November 20, 2018 [13:49:16] FPS: 4108, TICKS: 59
INFO: November 20, 2018 [13:49:17] FPS: 4100, TICKS: 60
INFO: November 20, 2018 [13:49:18] FPS: 3463, TICKS: 59
INFO: November 20, 2018 [13:49:19] FPS: 4175, TICKS: 60
INFO: November 20, 2018 [13:49:20] FPS: 4293, TICKS: 59
INFO: November 20, 2018 [13:49:21] FPS: 4137, TICKS: 60
INFO: November 20, 2018 [13:49:22] FPS: 4276, TICKS: 59
INFO: November 20, 2018 [13:49:23] FPS: 4285, TICKS: 59
INFO: November 20, 2018 [13:49:24] FPS: 4276, TICKS: 60
INFO: November 20, 2018 [13:49:25] FPS: 4240, TICKS: 60
