INFO: November 20, 2018 [15:31:38] 4.0.0 NVIDIA 388.13
INFO: November 20, 2018 [15:31:39] FPS: 3641, TICKS: 56
INFO: November 20, 2018 [15:31:40] FPS: 4596, TICKS: 59
INFO: November 20, 2018 [15:31:41] FPS: 4716, TICKS: 60
INFO: November 20, 2018 [15:31:42] FPS: 4651, TICKS: 60
INFO: November 20, 2018 [15:31:43] FPS: 4694, TICKS: 59
INFO: November 20, 2018 [15:31:44] FPS: 4558, TICKS: 60
INFO: November 20, 2018 [15:31:45] FPS: 4443, TICKS: 59
INFO: November 20, 2018 [15:31:46] FPS: 4652, TICKS: 60
INFO: November 20, 2018 [15:31:47] FPS: 4752, TICKS: 59
INFO: November 20, 2018 [15:31:48] FPS: 4697, TICKS: 60
