INFO: November 20, 2018 [17:38:57] 4.0.0 NVIDIA 388.13
INFO: November 20, 2018 [17:38:59] FPS: 2846, TICKS: 54
INFO: November 20, 2018 [17:39:00] FPS: 3503, TICKS: 59
INFO: November 20, 2018 [17:39:01] FPS: 1789, TICKS: 30
INFO: November 20, 2018 [17:39:02] FPS: 3667, TICKS: 60
INFO: November 20, 2018 [17:39:03] FPS: 3900, TICKS: 59
INFO: November 20, 2018 [17:39:04] FPS: 3602, TICKS: 59
INFO: November 20, 2018 [17:39:05] FPS: 3548, TICKS: 60
INFO: November 20, 2018 [17:39:06] FPS: 3697, TICKS: 59
INFO: November 20, 2018 [17:39:07] FPS: 3630, TICKS: 60
INFO: November 20, 2018 [17:39:08] FPS: 3836, TICKS: 59
INFO: November 20, 2018 [17:39:09] FPS: 3976, TICKS: 59
INFO: November 20, 2018 [17:39:10] FPS: 4001, TICKS: 60
INFO: November 20, 2018 [17:39:11] FPS: 3781, TICKS: 59
INFO: November 20, 2018 [17:39:12] FPS: 3709, TICKS: 60
INFO: November 20, 2018 [17:39:13] FPS: 3884, TICKS: 59
INFO: November 20, 2018 [17:39:14] FPS: 3959, TICKS: 60
INFO: November 20, 2018 [17:39:15] FPS: 3800, TICKS: 59
INFO: November 20, 2018 [17:39:16] FPS: 4048, TICKS: 60
INFO: November 20, 2018 [17:39:17] FPS: 4067, TICKS: 59
INFO: November 20, 2018 [17:39:18] FPS: 3982, TICKS: 60
INFO: November 20, 2018 [17:39:19] FPS: 3993, TICKS: 59
INFO: November 20, 2018 [17:39:20] FPS: 4001, TICKS: 60
INFO: November 20, 2018 [17:39:21] FPS: 3938, TICKS: 59
INFO: November 20, 2018 [17:39:22] FPS: 3887, TICKS: 60
INFO: November 20, 2018 [17:39:23] FPS: 3867, TICKS: 59
INFO: November 20, 2018 [17:39:24] FPS: 3636, TICKS: 60
