INFO: November 20, 2018 [17:31:52] 4.0.0 NVIDIA 388.13
INFO: November 20, 2018 [17:31:54] FPS: 3567, TICKS: 55
INFO: November 20, 2018 [17:31:55] FPS: 4240, TICKS: 60
INFO: November 20, 2018 [17:31:56] FPS: 4377, TICKS: 59
INFO: November 20, 2018 [17:31:57] FPS: 2576, TICKS: 35
INFO: November 20, 2018 [17:31:58] FPS: 4393, TICKS: 60
INFO: November 20, 2018 [17:31:59] FPS: 4265, TICKS: 60
INFO: November 20, 2018 [17:32:00] FPS: 4330, TICKS: 59
INFO: November 20, 2018 [17:32:01] FPS: 4489, TICKS: 60
INFO: November 20, 2018 [17:32:02] FPS: 4538, TICKS: 59
INFO: November 20, 2018 [17:32:03] FPS: 4557, TICKS: 60
INFO: November 20, 2018 [17:32:04] FPS: 4504, TICKS: 60
INFO: November 20, 2018 [17:32:05] FPS: 4564, TICKS: 59
INFO: November 20, 2018 [17:32:06] FPS: 4575, TICKS: 60
INFO: November 20, 2018 [17:32:07] FPS: 4561, TICKS: 59
INFO: November 20, 2018 [17:32:08] FPS: 4498, TICKS: 60
INFO: November 20, 2018 [17:32:09] FPS: 4483, TICKS: 60
INFO: November 20, 2018 [17:32:10] FPS: 4480, TICKS: 59
INFO: November 20, 2018 [17:32:11] FPS: 4605, TICKS: 60
INFO: November 20, 2018 [17:32:12] FPS: 4550, TICKS: 59
INFO: November 20, 2018 [17:32:13] FPS: 4659, TICKS: 60
INFO: November 20, 2018 [17:32:14] FPS: 4659, TICKS: 60
INFO: November 20, 2018 [17:32:15] FPS: 4612, TICKS: 59
INFO: November 20, 2018 [17:32:16] FPS: 4596, TICKS: 60
INFO: November 20, 2018 [17:32:17] FPS: 4492, TICKS: 59
INFO: November 20, 2018 [17:32:18] FPS: 4573, TICKS: 60
INFO: November 20, 2018 [17:32:19] FPS: 4538, TICKS: 59
INFO: November 20, 2018 [17:32:20] FPS: 4617, TICKS: 60
INFO: November 20, 2018 [17:32:21] FPS: 4549, TICKS: 60
INFO: November 20, 2018 [17:32:22] FPS: 4610, TICKS: 59
INFO: November 20, 2018 [17:32:23] FPS: 4575, TICKS: 60
INFO: November 20, 2018 [17:32:24] FPS: 4600, TICKS: 59
INFO: November 20, 2018 [17:32:25] FPS: 4501, TICKS: 60
INFO: November 20, 2018 [17:32:26] FPS: 4484, TICKS: 60
INFO: November 20, 2018 [17:32:27] FPS: 4516, TICKS: 59
INFO: November 20, 2018 [17:32:28] FPS: 4480, TICKS: 60
INFO: November 20, 2018 [17:32:29] FPS: 4524, TICKS: 59
