INFO: November 20, 2018 [15:28:51] 4.0.0 NVIDIA 388.13
INFO: November 20, 2018 [15:28:53] FPS: 3479, TICKS: 55
INFO: November 20, 2018 [15:28:54] FPS: 4426, TICKS: 60
INFO: November 20, 2018 [15:28:55] FPS: 4379, TICKS: 59
INFO: November 20, 2018 [15:28:56] FPS: 3999, TICKS: 60
INFO: November 20, 2018 [15:28:57] FPS: 3948, TICKS: 59
INFO: November 20, 2018 [15:28:58] FPS: 4200, TICKS: 60
INFO: November 20, 2018 [15:28:59] FPS: 4123, TICKS: 60
INFO: November 20, 2018 [15:29:00] FPS: 3846, TICKS: 59
INFO: November 20, 2018 [15:29:01] FPS: 3926, TICKS: 60
INFO: November 20, 2018 [15:29:02] FPS: 3990, TICKS: 59
INFO: November 20, 2018 [15:29:03] FPS: 4050, TICKS: 60
INFO: November 20, 2018 [15:29:04] FPS: 4150, TICKS: 59
INFO: November 20, 2018 [15:29:05] FPS: 4208, TICKS: 60
INFO: November 20, 2018 [15:29:06] FPS: 4221, TICKS: 60
INFO: November 20, 2018 [15:29:07] FPS: 4227, TICKS: 59
INFO: November 20, 2018 [15:29:08] FPS: 4069, TICKS: 60
INFO: November 20, 2018 [15:29:09] FPS: 4045, TICKS: 59
INFO: November 20, 2018 [15:29:10] FPS: 3934, TICKS: 60
INFO: November 20, 2018 [15:29:11] FPS: 3886, TICKS: 59
INFO: November 20, 2018 [15:29:12] FPS: 4128, TICKS: 60
INFO: November 20, 2018 [15:29:13] FPS: 4596, TICKS: 59
INFO: November 20, 2018 [15:29:14] FPS: 4656, TICKS: 60
INFO: November 20, 2018 [15:29:15] FPS: 4611, TICKS: 60
INFO: November 20, 2018 [15:29:16] FPS: 4646, TICKS: 59
INFO: November 20, 2018 [15:29:17] FPS: 4641, TICKS: 60
INFO: November 20, 2018 [15:29:18] FPS: 4244, TICKS: 59
INFO: November 20, 2018 [15:29:19] FPS: 4442, TICKS: 60
INFO: November 20, 2018 [15:29:20] FPS: 4620, TICKS: 60
INFO: November 20, 2018 [15:29:21] FPS: 4682, TICKS: 59
INFO: November 20, 2018 [15:29:22] FPS: 4614, TICKS: 60
INFO: November 20, 2018 [15:29:23] FPS: 4719, TICKS: 59
INFO: November 20, 2018 [15:29:24] FPS: 4668, TICKS: 60
INFO: November 20, 2018 [15:29:25] FPS: 4652, TICKS: 60
