INFO: December 25, 2018 [23:14:47] FPS: 3366, TICKS: 60
INFO: December 25, 2018 [23:14:48] FPS: 3303, TICKS: 59
INFO: December 25, 2018 [23:14:49] FPS: 3336, TICKS: 60
INFO: December 25, 2018 [23:14:50] FPS: 3351, TICKS: 59
INFO: December 25, 2018 [23:14:51] FPS: 3349, TICKS: 59
INFO: December 25, 2018 [23:14:52] FPS: 3401, TICKS: 60
INFO: December 25, 2018 [23:14:53] FPS: 3161, TICKS: 59
INFO: December 25, 2018 [23:14:54] FPS: 3366, TICKS: 60
INFO: December 25, 2018 [23:14:55] FPS: 3393, TICKS: 59
INFO: December 25, 2018 [23:14:56] FPS: 3408, TICKS: 60
INFO: December 25, 2018 [23:14:57] FPS: 3378, TICKS: 59
INFO: December 25, 2018 [23:14:58] FPS: 3278, TICKS: 59
INFO: December 25, 2018 [23:14:59] FPS: 3406, TICKS: 60
INFO: December 25, 2018 [23:15:00] FPS: 3375, TICKS: 59
INFO: December 25, 2018 [23:15:01] FPS: 3394, TICKS: 60
INFO: December 25, 2018 [23:15:02] FPS: 3393, TICKS: 59
INFO: December 25, 2018 [23:15:03] FPS: 3384, TICKS: 60
INFO: December 25, 2018 [23:15:04] FPS: 3394, TICKS: 59
INFO: December 25, 2018 [23:15:05] FPS: 3391, TICKS: 60
INFO: December 25, 2018 [23:15:06] FPS: 3391, TICKS: 59
INFO: December 25, 2018 [23:15:07] FPS: 3313, TICKS: 59
INFO: December 25, 2018 [23:15:08] FPS: 3394, TICKS: 60
INFO: December 25, 2018 [23:15:09] FPS: 3393, TICKS: 59
INFO: December 25, 2018 [23:15:10] FPS: 3414, TICKS: 59
INFO: December 25, 2018 [23:15:11] FPS: 3389, TICKS: 60
INFO: December 25, 2018 [23:15:12] FPS: 3382, TICKS: 59
INFO: December 25, 2018 [23:15:13] FPS: 3409, TICKS: 60
INFO: December 25, 2018 [23:15:14] FPS: 3386, TICKS: 59
INFO: December 25, 2018 [23:15:15] FPS: 3391, TICKS: 60
INFO: December 25, 2018 [23:15:16] FPS: 3383, TICKS: 59
INFO: December 25, 2018 [23:15:17] FPS: 3393, TICKS: 60
INFO: December 25, 2018 [23:15:18] FPS: 3391, TICKS: 59
