INFO: December 03, 2018 [01:45:00] 4.0.13537 Core Profile Forward-Compatible Context 24.20.13001.1010
INFO: December 03, 2018 [01:45:02] FPS: 1743, TICKS: 50
INFO: December 03, 2018 [01:45:03] FPS: 2485, TICKS: 59
INFO: December 03, 2018 [01:45:04] FPS: 2522, TICKS: 59
INFO: December 03, 2018 [01:45:05] FPS: 2569, TICKS: 59
INFO: December 03, 2018 [01:45:06] FPS: 2493, TICKS: 59
INFO: December 03, 2018 [01:45:07] FPS: 2474, TICKS: 60
INFO: December 03, 2018 [01:45:08] FPS: 2521, TICKS: 59
INFO: December 03, 2018 [01:45:09] FPS: 2571, TICKS: 59
INFO: December 03, 2018 [01:45:10] FPS: 2536, TICKS: 59
INFO: December 03, 2018 [01:45:11] FPS: 2568, TICKS: 60
INFO: December 03, 2018 [01:45:12] FPS: 2565, TICKS: 59
INFO: December 03, 2018 [01:45:13] FPS: 2574, TICKS: 59
INFO: December 03, 2018 [01:45:14] FPS: 2565, TICKS: 60
INFO: December 03, 2018 [01:45:15] FPS: 2547, TICKS: 59
INFO: December 03, 2018 [01:45:16] FPS: 2570, TICKS: 59
INFO: December 03, 2018 [01:45:17] FPS: 2574, TICKS: 59
INFO: December 03, 2018 [01:45:18] FPS: 2564, TICKS: 60
INFO: December 03, 2018 [01:45:19] FPS: 2573, TICKS: 59
INFO: December 03, 2018 [01:45:20] FPS: 2554, TICKS: 59
INFO: December 03, 2018 [01:45:21] FPS: 2562, TICKS: 60
INFO: December 03, 2018 [01:45:22] FPS: 2567, TICKS: 59
INFO: December 03, 2018 [01:45:23] FPS: 2574, TICKS: 59
INFO: December 03, 2018 [01:45:24] FPS: 2545, TICKS: 59
INFO: December 03, 2018 [01:45:25] FPS: 2555, TICKS: 60
INFO: December 03, 2018 [01:45:26] FPS: 2571, TICKS: 59
INFO: December 03, 2018 [01:45:27] FPS: 2564, TICKS: 59
INFO: December 03, 2018 [01:45:28] FPS: 2568, TICKS: 60
INFO: December 03, 2018 [01:45:29] FPS: 2569, TICKS: 59
INFO: December 03, 2018 [01:45:30] FPS: 2551, TICKS: 59
INFO: December 03, 2018 [01:45:31] FPS: 2566, TICKS: 59
INFO: December 03, 2018 [01:45:32] FPS: 2560, TICKS: 60
INFO: December 03, 2018 [01:45:33] FPS: 2577, TICKS: 59
INFO: December 03, 2018 [01:45:34] FPS: 2566, TICKS: 59
INFO: December 03, 2018 [01:45:35] FPS: 2548, TICKS: 59
INFO: December 03, 2018 [01:45:36] FPS: 2570, TICKS: 60
INFO: December 03, 2018 [01:45:37] FPS: 2572, TICKS: 59
INFO: December 03, 2018 [01:45:38] FPS: 2567, TICKS: 59
INFO: December 03, 2018 [01:45:39] FPS: 2569, TICKS: 59
INFO: December 03, 2018 [01:45:40] FPS: 2542, TICKS: 60
