INFO: November 20, 2018 [15:06:14] 4.0.0 NVIDIA 388.13
INFO: November 20, 2018 [15:06:16] FPS: 3947, TICKS: 54
INFO: November 20, 2018 [15:06:17] FPS: 4976, TICKS: 60
INFO: November 20, 2018 [15:06:18] FPS: 4351, TICKS: 59
INFO: November 20, 2018 [15:06:19] FPS: 4962, TICKS: 60
INFO: November 20, 2018 [15:06:20] FPS: 4899, TICKS: 59
INFO: November 20, 2018 [15:06:21] FPS: 5004, TICKS: 60
INFO: November 20, 2018 [15:06:22] FPS: 4965, TICKS: 60
INFO: November 20, 2018 [15:06:23] FPS: 4982, TICKS: 59
INFO: November 20, 2018 [15:06:24] FPS: 4996, TICKS: 60
INFO: November 20, 2018 [15:06:25] FPS: 4987, TICKS: 60
INFO: November 20, 2018 [15:06:26] FPS: 4658, TICKS: 59
INFO: November 20, 2018 [15:06:27] FPS: 4656, TICKS: 60
INFO: November 20, 2018 [15:06:28] FPS: 4760, TICKS: 59
INFO: November 20, 2018 [15:06:29] FPS: 4756, TICKS: 60
INFO: November 20, 2018 [15:06:30] FPS: 5038, TICKS: 60
INFO: November 20, 2018 [15:06:31] FPS: 5011, TICKS: 59
INFO: November 20, 2018 [15:06:32] FPS: 4886, TICKS: 60
INFO: November 20, 2018 [15:06:33] FPS: 4841, TICKS: 59
INFO: November 20, 2018 [15:06:34] FPS: 4984, TICKS: 60
INFO: November 20, 2018 [15:06:35] FPS: 4944, TICKS: 59
INFO: November 20, 2018 [15:06:36] FPS: 4917, TICKS: 60
INFO: November 20, 2018 [15:06:37] FPS: 4927, TICKS: 60
INFO: November 20, 2018 [15:06:38] FPS: 4899, TICKS: 59
INFO: November 20, 2018 [15:06:39] FPS: 4989, TICKS: 60
INFO: November 20, 2018 [15:06:40] FPS: 4968, TICKS: 60
INFO: November 20, 2018 [15:06:41] FPS: 4955, TICKS: 59
INFO: November 20, 2018 [15:06:42] FPS: 5005, TICKS: 60
INFO: November 20, 2018 [15:06:43] FPS: 4962, TICKS: 60
INFO: November 20, 2018 [15:06:44] FPS: 4892, TICKS: 59
INFO: November 20, 2018 [15:06:45] FPS: 4920, TICKS: 60
INFO: November 20, 2018 [15:06:46] FPS: 4823, TICKS: 59
INFO: November 20, 2018 [15:06:47] FPS: 4699, TICKS: 60
