INFO: November 23, 2018 [20:20:45] 4.0.0 NVIDIA 388.13
INFO: November 23, 2018 [20:20:46] FPS: 3315, TICKS: 54
INFO: November 23, 2018 [20:20:47] FPS: 4097, TICKS: 60
INFO: November 23, 2018 [20:20:48] FPS: 4488, TICKS: 59
INFO: November 23, 2018 [20:20:49] FPS: 4359, TICKS: 60
INFO: November 23, 2018 [20:20:50] FPS: 4486, TICKS: 59
INFO: November 23, 2018 [20:20:51] FPS: 4533, TICKS: 60
INFO: November 23, 2018 [20:20:52] FPS: 4532, TICKS: 60
INFO: November 23, 2018 [20:20:53] FPS: 4589, TICKS: 59
INFO: November 23, 2018 [20:20:54] FPS: 4476, TICKS: 60
INFO: November 23, 2018 [20:20:55] FPS: 4503, TICKS: 59
INFO: November 23, 2018 [20:20:56] FPS: 4543, TICKS: 60
INFO: November 23, 2018 [20:20:57] FPS: 4298, TICKS: 60
INFO: November 23, 2018 [20:20:58] FPS: 4483, TICKS: 59
INFO: November 23, 2018 [20:20:59] FPS: 4514, TICKS: 60
INFO: November 23, 2018 [20:21:00] FPS: 4554, TICKS: 59
INFO: November 23, 2018 [20:21:01] FPS: 4454, TICKS: 60
INFO: November 23, 2018 [20:21:02] FPS: 4594, TICKS: 60
INFO: November 23, 2018 [20:21:03] FPS: 4440, TICKS: 59
INFO: November 23, 2018 [20:21:04] FPS: 4638, TICKS: 59
INFO: November 23, 2018 [20:21:05] FPS: 4684, TICKS: 60
INFO: November 23, 2018 [20:21:06] FPS: 4623, TICKS: 59
INFO: November 23, 2018 [20:21:07] FPS: 4603, TICKS: 60
INFO: November 23, 2018 [20:21:08] FPS: 4556, TICKS: 59
INFO: November 23, 2018 [20:21:09] FPS: 4651, TICKS: 60
INFO: November 23, 2018 [20:21:10] FPS: 4685, TICKS: 60
INFO: November 23, 2018 [20:21:11] FPS: 4659, TICKS: 59
INFO: November 23, 2018 [20:21:12] FPS: 4504, TICKS: 60
INFO: November 23, 2018 [20:21:13] FPS: 4560, TICKS: 60
INFO: November 23, 2018 [20:21:14] FPS: 4630, TICKS: 59
INFO: November 23, 2018 [20:21:15] FPS: 4616, TICKS: 60
INFO: November 23, 2018 [20:21:16] FPS: 4472, TICKS: 59
INFO: November 23, 2018 [20:21:17] FPS: 4379, TICKS: 60
INFO: November 23, 2018 [20:21:18] FPS: 4377, TICKS: 60
