INFO: November 20, 2018 [13:45:21] 4.0.0 NVIDIA 388.13
INFO: November 20, 2018 [13:45:23] FPS: 2986, TICKS: 53
INFO: November 20, 2018 [13:45:24] FPS: 4231, TICKS: 59
INFO: November 20, 2018 [13:45:25] FPS: 4267, TICKS: 60
INFO: November 20, 2018 [13:45:26] FPS: 4254, TICKS: 59
INFO: November 20, 2018 [13:45:27] FPS: 4291, TICKS: 60
INFO: November 20, 2018 [13:45:28] FPS: 4263, TICKS: 59
INFO: November 20, 2018 [13:45:29] FPS: 4247, TICKS: 60
INFO: November 20, 2018 [13:45:30] FPS: 4268, TICKS: 60
INFO: November 20, 2018 [13:45:31] FPS: 4050, TICKS: 59
