INFO: November 23, 2018 [20:28:43] 4.0.13537 Core Profile Forward-Compatible Context 24.20.13001.1010
INFO: November 23, 2018 [20:28:45] FPS: 1720, TICKS: 52
INFO: November 23, 2018 [20:28:46] FPS: 2544, TICKS: 59
INFO: November 23, 2018 [20:28:47] FPS: 2496, TICKS: 59
INFO: November 23, 2018 [20:28:48] FPS: 2584, TICKS: 59
INFO: November 23, 2018 [20:28:49] FPS: 2601, TICKS: 60
INFO: November 23, 2018 [20:28:50] FPS: 2569, TICKS: 59
INFO: November 23, 2018 [20:28:51] FPS: 2565, TICKS: 59
INFO: November 23, 2018 [20:28:52] FPS: 2551, TICKS: 59
INFO: November 23, 2018 [20:28:53] FPS: 2530, TICKS: 60
INFO: November 23, 2018 [20:28:54] FPS: 2551, TICKS: 59
INFO: November 23, 2018 [20:28:55] FPS: 2550, TICKS: 59
INFO: November 23, 2018 [20:28:56] FPS: 2540, TICKS: 59
INFO: November 23, 2018 [20:28:57] FPS: 2620, TICKS: 59
INFO: November 23, 2018 [20:28:58] FPS: 2552, TICKS: 60
INFO: November 23, 2018 [20:28:59] FPS: 2539, TICKS: 59
INFO: November 23, 2018 [20:29:00] FPS: 2582, TICKS: 59
INFO: November 23, 2018 [20:29:01] FPS: 2531, TICKS: 59
INFO: November 23, 2018 [20:29:02] FPS: 2373, TICKS: 60
INFO: November 23, 2018 [20:29:03] FPS: 2627, TICKS: 59
INFO: November 23, 2018 [20:29:04] FPS: 2579, TICKS: 59
INFO: November 23, 2018 [20:29:05] FPS: 2606, TICKS: 59
INFO: November 23, 2018 [20:29:06] FPS: 2565, TICKS: 60
INFO: November 23, 2018 [20:29:07] FPS: 2651, TICKS: 59
INFO: November 23, 2018 [20:29:08] FPS: 2624, TICKS: 59
INFO: November 23, 2018 [20:29:09] FPS: 2613, TICKS: 59
INFO: November 23, 2018 [20:29:10] FPS: 2624, TICKS: 60
INFO: November 23, 2018 [20:29:11] FPS: 2627, TICKS: 59
INFO: November 23, 2018 [20:29:12] FPS: 2595, TICKS: 59
INFO: November 23, 2018 [20:29:13] FPS: 2463, TICKS: 59
INFO: November 23, 2018 [20:29:14] FPS: 2269, TICKS: 59
INFO: November 23, 2018 [20:29:15] FPS: 2566, TICKS: 60
INFO: November 23, 2018 [20:29:16] FPS: 2578, TICKS: 59
INFO: November 23, 2018 [20:29:17] FPS: 2554, TICKS: 59
INFO: November 23, 2018 [20:29:18] FPS: 2411, TICKS: 59
INFO: November 23, 2018 [20:29:19] FPS: 2556, TICKS: 59
INFO: November 23, 2018 [20:29:20] FPS: 2547, TICKS: 60
INFO: November 23, 2018 [20:29:21] FPS: 2588, TICKS: 59
