INFO: November 20, 2018 [17:48:35] 4.0.0 NVIDIA 388.13
INFO: November 20, 2018 [17:48:37] FPS: 2968, TICKS: 54
INFO: November 20, 2018 [17:48:38] FPS: 3739, TICKS: 59
INFO: November 20, 2018 [17:48:39] FPS: 3820, TICKS: 60
INFO: November 20, 2018 [17:48:40] FPS: 3733, TICKS: 59
INFO: November 20, 2018 [17:48:41] FPS: 3788, TICKS: 60
INFO: November 20, 2018 [17:48:42] FPS: 3871, TICKS: 59
INFO: November 20, 2018 [17:48:43] FPS: 3891, TICKS: 60
INFO: November 20, 2018 [17:48:44] FPS: 3826, TICKS: 59
INFO: November 20, 2018 [17:48:45] FPS: 3934, TICKS: 60
INFO: November 20, 2018 [17:48:46] FPS: 3980, TICKS: 60
INFO: November 20, 2018 [17:48:47] FPS: 3998, TICKS: 59
INFO: November 20, 2018 [17:48:48] FPS: 4028, TICKS: 60
INFO: November 20, 2018 [17:48:49] FPS: 3869, TICKS: 59
INFO: November 20, 2018 [17:48:50] FPS: 3750, TICKS: 60
INFO: November 20, 2018 [17:48:51] FPS: 3832, TICKS: 59
INFO: November 20, 2018 [17:48:52] FPS: 3869, TICKS: 60
INFO: November 20, 2018 [17:48:53] FPS: 3774, TICKS: 59
INFO: November 20, 2018 [17:48:54] FPS: 3783, TICKS: 60
INFO: November 20, 2018 [17:48:55] FPS: 3820, TICKS: 59
INFO: November 20, 2018 [17:48:56] FPS: 3880, TICKS: 60
INFO: November 20, 2018 [17:48:57] FPS: 3747, TICKS: 59
INFO: November 20, 2018 [17:48:58] FPS: 3776, TICKS: 60
INFO: November 20, 2018 [17:48:59] FPS: 3802, TICKS: 59
INFO: November 20, 2018 [17:49:00] FPS: 3798, TICKS: 60
INFO: November 20, 2018 [17:49:01] FPS: 3827, TICKS: 59
INFO: November 20, 2018 [17:49:02] FPS: 3730, TICKS: 60
INFO: November 20, 2018 [17:49:03] FPS: 3684, TICKS: 59
INFO: November 20, 2018 [17:49:04] FPS: 3792, TICKS: 60
INFO: November 20, 2018 [17:49:05] FPS: 3887, TICKS: 59
INFO: November 20, 2018 [17:49:06] FPS: 3879, TICKS: 60
INFO: November 20, 2018 [17:49:07] FPS: 3823, TICKS: 59
INFO: November 20, 2018 [17:49:08] FPS: 3820, TICKS: 60
INFO: November 20, 2018 [17:49:09] FPS: 3782, TICKS: 59
