INFO: November 20, 2018 [18:29:48] 4.0.0 NVIDIA 388.13
INFO: November 20, 2018 [18:29:49] FPS: 3617, TICKS: 55
INFO: November 20, 2018 [18:29:50] FPS: 4316, TICKS: 60
INFO: November 20, 2018 [18:29:51] FPS: 4379, TICKS: 59
INFO: November 20, 2018 [18:29:52] FPS: 4528, TICKS: 60
INFO: November 20, 2018 [18:29:53] FPS: 4523, TICKS: 59
INFO: November 20, 2018 [18:29:54] FPS: 4414, TICKS: 60
INFO: November 20, 2018 [18:29:55] FPS: 4483, TICKS: 59
INFO: November 20, 2018 [18:29:56] FPS: 4533, TICKS: 60
INFO: November 20, 2018 [18:29:57] FPS: 4390, TICKS: 60
INFO: November 20, 2018 [18:29:58] FPS: 4489, TICKS: 59
INFO: November 20, 2018 [18:29:59] FPS: 4427, TICKS: 60
INFO: November 20, 2018 [18:30:00] FPS: 4221, TICKS: 59
INFO: November 20, 2018 [18:30:01] FPS: 4189, TICKS: 60
INFO: November 20, 2018 [18:30:02] FPS: 4308, TICKS: 59
INFO: November 20, 2018 [18:30:03] FPS: 4142, TICKS: 60
INFO: November 20, 2018 [18:30:04] FPS: 4202, TICKS: 60
INFO: November 20, 2018 [18:30:05] FPS: 4452, TICKS: 59
INFO: November 20, 2018 [18:30:06] FPS: 4397, TICKS: 60
INFO: November 20, 2018 [18:30:07] FPS: 4469, TICKS: 59
INFO: November 20, 2018 [18:30:08] FPS: 4268, TICKS: 60
INFO: November 20, 2018 [18:30:09] FPS: 4408, TICKS: 59
INFO: November 20, 2018 [18:30:10] FPS: 4601, TICKS: 60
INFO: November 20, 2018 [18:30:11] FPS: 4575, TICKS: 60
INFO: November 20, 2018 [18:30:12] FPS: 4596, TICKS: 59
INFO: November 20, 2018 [18:30:13] FPS: 4539, TICKS: 60
INFO: November 20, 2018 [18:30:14] FPS: 4506, TICKS: 59
INFO: November 20, 2018 [18:30:15] FPS: 4461, TICKS: 60
INFO: November 20, 2018 [18:30:16] FPS: 4512, TICKS: 60
INFO: November 20, 2018 [18:30:17] FPS: 4493, TICKS: 59
INFO: November 20, 2018 [18:30:18] FPS: 4392, TICKS: 60
