INFO: November 20, 2018 [17:25:57] 4.0.0 NVIDIA 388.13
INFO: November 20, 2018 [17:25:59] FPS: 3694, TICKS: 54
INFO: November 20, 2018 [17:26:00] FPS: 4701, TICKS: 60
INFO: November 20, 2018 [17:26:01] FPS: 4723, TICKS: 60
INFO: November 20, 2018 [17:26:02] FPS: 4732, TICKS: 59
INFO: November 20, 2018 [17:26:03] FPS: 4749, TICKS: 60
INFO: November 20, 2018 [17:26:04] FPS: 4384, TICKS: 60
INFO: November 20, 2018 [17:26:05] FPS: 4623, TICKS: 59
INFO: November 20, 2018 [17:26:06] FPS: 4867, TICKS: 60
INFO: November 20, 2018 [17:26:07] FPS: 4808, TICKS: 59
