INFO: December 04, 2018 [00:07:46] 4.0.13537 Core Profile Forward-Compatible Context 24.20.13001.1010
INFO: December 04, 2018 [00:07:48] FPS: 1858, TICKS: 50
INFO: December 04, 2018 [00:07:49] FPS: 2501, TICKS: 60
INFO: December 04, 2018 [00:07:50] FPS: 2542, TICKS: 59
INFO: December 04, 2018 [00:07:51] FPS: 2520, TICKS: 59
INFO: December 04, 2018 [00:07:52] FPS: 2553, TICKS: 60
INFO: December 04, 2018 [00:07:53] FPS: 2488, TICKS: 59
INFO: December 04, 2018 [00:07:54] FPS: 2458, TICKS: 59
INFO: December 04, 2018 [00:07:55] FPS: 2530, TICKS: 59
INFO: December 04, 2018 [00:07:56] FPS: 2527, TICKS: 60
INFO: December 04, 2018 [00:07:57] FPS: 2521, TICKS: 59
INFO: December 04, 2018 [00:07:58] FPS: 2528, TICKS: 59
INFO: December 04, 2018 [00:07:59] FPS: 2520, TICKS: 60
INFO: December 04, 2018 [00:08:00] FPS: 2518, TICKS: 59
INFO: December 04, 2018 [00:08:01] FPS: 2556, TICKS: 59
INFO: December 04, 2018 [00:08:02] FPS: 2580, TICKS: 60
INFO: December 04, 2018 [00:08:03] FPS: 2559, TICKS: 59
INFO: December 04, 2018 [00:08:04] FPS: 2562, TICKS: 59
INFO: December 04, 2018 [00:08:05] FPS: 2567, TICKS: 59
INFO: December 04, 2018 [00:08:06] FPS: 2598, TICKS: 60
INFO: December 04, 2018 [00:08:07] FPS: 2584, TICKS: 59
INFO: December 04, 2018 [00:08:08] FPS: 2608, TICKS: 59
INFO: December 04, 2018 [00:08:09] FPS: 2515, TICKS: 59
INFO: December 04, 2018 [00:08:10] FPS: 2568, TICKS: 60
INFO: December 04, 2018 [00:08:11] FPS: 2324, TICKS: 59
INFO: December 04, 2018 [00:08:12] FPS: 2444, TICKS: 59
INFO: December 04, 2018 [00:08:13] FPS: 2593, TICKS: 60
INFO: December 04, 2018 [00:08:14] FPS: 2609, TICKS: 59
INFO: December 04, 2018 [00:08:15] FPS: 2585, TICKS: 59
INFO: December 04, 2018 [00:08:16] FPS: 2593, TICKS: 60
INFO: December 04, 2018 [00:08:17] FPS: 2577, TICKS: 59
INFO: December 04, 2018 [00:08:18] FPS: 2584, TICKS: 59
INFO: December 04, 2018 [00:08:19] FPS: 2569, TICKS: 59
INFO: December 04, 2018 [00:08:20] FPS: 2475, TICKS: 59
INFO: December 04, 2018 [00:08:21] FPS: 2563, TICKS: 59
INFO: December 04, 2018 [00:08:22] FPS: 2574, TICKS: 60
INFO: December 04, 2018 [00:08:23] FPS: 2604, TICKS: 59
INFO: December 04, 2018 [00:08:24] FPS: 2595, TICKS: 59
INFO: December 04, 2018 [00:08:25] FPS: 2499, TICKS: 59
INFO: December 04, 2018 [00:08:26] FPS: 2608, TICKS: 60
INFO: December 04, 2018 [00:08:27] FPS: 2592, TICKS: 59
INFO: December 04, 2018 [00:08:28] FPS: 2604, TICKS: 59
INFO: December 04, 2018 [00:08:29] FPS: 2607, TICKS: 59
INFO: December 04, 2018 [00:08:30] FPS: 2613, TICKS: 60
INFO: December 04, 2018 [00:08:31] FPS: 2599, TICKS: 59
INFO: December 04, 2018 [00:08:32] FPS: 2625, TICKS: 59
INFO: December 04, 2018 [00:08:33] FPS: 2639, TICKS: 59
INFO: December 04, 2018 [00:08:34] FPS: 2613, TICKS: 60
INFO: December 04, 2018 [00:08:35] FPS: 2617, TICKS: 59
INFO: December 04, 2018 [00:08:36] FPS: 2612, TICKS: 59
INFO: December 04, 2018 [00:08:37] FPS: 2606, TICKS: 60
INFO: December 04, 2018 [00:08:38] FPS: 2549, TICKS: 59
