INFO: November 20, 2018 [15:16:24] 4.0.0 NVIDIA 388.13
INFO: November 20, 2018 [15:16:26] FPS: 3427, TICKS: 56
INFO: November 20, 2018 [15:16:27] FPS: 4147, TICKS: 59
INFO: November 20, 2018 [15:16:28] FPS: 4134, TICKS: 60
INFO: November 20, 2018 [15:16:29] FPS: 4142, TICKS: 59
INFO: November 20, 2018 [15:16:30] FPS: 4205, TICKS: 60
INFO: November 20, 2018 [15:16:31] FPS: 4119, TICKS: 60
INFO: November 20, 2018 [15:16:32] FPS: 4116, TICKS: 59
INFO: November 20, 2018 [15:16:33] FPS: 4148, TICKS: 60
INFO: November 20, 2018 [15:16:34] FPS: 4165, TICKS: 59
INFO: November 20, 2018 [15:16:35] FPS: 4120, TICKS: 60
INFO: November 20, 2018 [15:16:36] FPS: 4184, TICKS: 59
INFO: November 20, 2018 [15:16:37] FPS: 4182, TICKS: 60
INFO: November 20, 2018 [15:16:38] FPS: 4200, TICKS: 60
INFO: November 20, 2018 [15:16:39] FPS: 4268, TICKS: 59
INFO: November 20, 2018 [15:16:40] FPS: 4202, TICKS: 60
INFO: November 20, 2018 [15:16:41] FPS: 4209, TICKS: 59
INFO: November 20, 2018 [15:16:42] FPS: 4239, TICKS: 60
INFO: November 20, 2018 [15:16:43] FPS: 4253, TICKS: 59
INFO: November 20, 2018 [15:16:44] FPS: 4168, TICKS: 60
INFO: November 20, 2018 [15:16:45] FPS: 4191, TICKS: 60
INFO: November 20, 2018 [15:16:46] FPS: 4199, TICKS: 59
