INFO: November 30, 2018 [01:32:42] 4.0.13537 Core Profile Forward-Compatible Context 24.20.13001.1010
INFO: November 30, 2018 [01:32:44] FPS: 1598, TICKS: 49
INFO: November 30, 2018 [01:32:45] FPS: 2477, TICKS: 59
INFO: November 30, 2018 [01:32:46] FPS: 2569, TICKS: 59
INFO: November 30, 2018 [01:32:47] FPS: 2543, TICKS: 59
INFO: November 30, 2018 [01:32:48] FPS: 2530, TICKS: 60
INFO: November 30, 2018 [01:32:49] FPS: 2522, TICKS: 59
INFO: November 30, 2018 [01:32:50] FPS: 2448, TICKS: 59
INFO: November 30, 2018 [01:32:51] FPS: 2590, TICKS: 59
INFO: November 30, 2018 [01:32:52] FPS: 2576, TICKS: 60
INFO: November 30, 2018 [01:32:53] FPS: 2579, TICKS: 59
INFO: November 30, 2018 [01:32:54] FPS: 2617, TICKS: 59
INFO: November 30, 2018 [01:32:55] FPS: 2575, TICKS: 59
INFO: November 30, 2018 [01:32:56] FPS: 2585, TICKS: 60
INFO: November 30, 2018 [01:32:57] FPS: 2604, TICKS: 59
INFO: November 30, 2018 [01:32:58] FPS: 2604, TICKS: 59
INFO: November 30, 2018 [01:32:59] FPS: 2586, TICKS: 59
INFO: November 30, 2018 [01:33:00] FPS: 2613, TICKS: 60
INFO: November 30, 2018 [01:33:01] FPS: 2622, TICKS: 59
INFO: November 30, 2018 [01:33:02] FPS: 2604, TICKS: 59
INFO: November 30, 2018 [01:33:03] FPS: 2607, TICKS: 59
INFO: November 30, 2018 [01:33:04] FPS: 2616, TICKS: 60
INFO: November 30, 2018 [01:33:05] FPS: 2432, TICKS: 59
INFO: November 30, 2018 [01:33:06] FPS: 2588, TICKS: 59
INFO: November 30, 2018 [01:33:07] FPS: 2629, TICKS: 59
INFO: November 30, 2018 [01:33:08] FPS: 2596, TICKS: 60
INFO: November 30, 2018 [01:33:09] FPS: 2622, TICKS: 59
INFO: November 30, 2018 [01:33:10] FPS: 2577, TICKS: 59
INFO: November 30, 2018 [01:33:11] FPS: 2598, TICKS: 60
INFO: November 30, 2018 [01:33:12] FPS: 2576, TICKS: 59
INFO: November 30, 2018 [01:33:13] FPS: 2559, TICKS: 59
INFO: November 30, 2018 [01:33:14] FPS: 2566, TICKS: 59
INFO: November 30, 2018 [01:33:15] FPS: 2562, TICKS: 60
INFO: November 30, 2018 [01:33:16] FPS: 2530, TICKS: 59
INFO: November 30, 2018 [01:33:17] FPS: 2544, TICKS: 59
INFO: November 30, 2018 [01:33:18] FPS: 2564, TICKS: 59
INFO: November 30, 2018 [01:33:19] FPS: 2547, TICKS: 60
INFO: November 30, 2018 [01:33:20] FPS: 2544, TICKS: 59
INFO: November 30, 2018 [01:33:21] FPS: 2547, TICKS: 59
INFO: November 30, 2018 [01:33:22] FPS: 2529, TICKS: 60
INFO: November 30, 2018 [01:33:23] FPS: 2516, TICKS: 59
INFO: November 30, 2018 [01:33:24] FPS: 2572, TICKS: 59
INFO: November 30, 2018 [01:33:25] FPS: 2544, TICKS: 60
INFO: November 30, 2018 [01:33:26] FPS: 2563, TICKS: 59
INFO: November 30, 2018 [01:33:27] FPS: 2581, TICKS: 59
INFO: November 30, 2018 [01:33:28] FPS: 2585, TICKS: 60
INFO: November 30, 2018 [01:33:29] FPS: 2623, TICKS: 59
INFO: November 30, 2018 [01:33:30] FPS: 2577, TICKS: 59
INFO: November 30, 2018 [01:33:31] FPS: 2569, TICKS: 60
INFO: November 30, 2018 [01:33:32] FPS: 2528, TICKS: 59
INFO: November 30, 2018 [01:33:33] FPS: 2523, TICKS: 59
INFO: November 30, 2018 [01:33:34] FPS: 2550, TICKS: 60
INFO: November 30, 2018 [01:33:35] FPS: 2560, TICKS: 59
INFO: November 30, 2018 [01:33:36] FPS: 2564, TICKS: 59
INFO: November 30, 2018 [01:33:37] FPS: 2568, TICKS: 59
INFO: November 30, 2018 [01:33:38] FPS: 2488, TICKS: 59
INFO: November 30, 2018 [01:33:39] FPS: 2535, TICKS: 60
