INFO: November 20, 2018 [15:02:32] 4.0.0 NVIDIA 388.13
INFO: November 20, 2018 [15:02:34] FPS: 3039, TICKS: 54
INFO: November 20, 2018 [15:02:35] FPS: 4140, TICKS: 59
INFO: November 20, 2018 [15:02:36] FPS: 4517, TICKS: 60
INFO: November 20, 2018 [15:02:37] FPS: 4659, TICKS: 59
INFO: November 20, 2018 [15:02:38] FPS: 4609, TICKS: 60
INFO: November 20, 2018 [15:02:39] FPS: 4643, TICKS: 60
INFO: November 20, 2018 [15:02:40] FPS: 4754, TICKS: 59
INFO: November 20, 2018 [15:02:41] FPS: 4634, TICKS: 60
INFO: November 20, 2018 [15:02:42] FPS: 4662, TICKS: 59
INFO: November 20, 2018 [15:02:43] FPS: 4833, TICKS: 60
INFO: November 20, 2018 [15:02:44] FPS: 4734, TICKS: 60
INFO: November 20, 2018 [15:02:45] FPS: 4679, TICKS: 59
INFO: November 20, 2018 [15:02:46] FPS: 4715, TICKS: 60
INFO: November 20, 2018 [15:02:47] FPS: 4689, TICKS: 59
INFO: November 20, 2018 [15:02:48] FPS: 4655, TICKS: 60
INFO: November 20, 2018 [15:02:49] FPS: 4101, TICKS: 60
INFO: November 20, 2018 [15:02:50] FPS: 3873, TICKS: 59
INFO: November 20, 2018 [15:02:51] FPS: 3887, TICKS: 60
INFO: November 20, 2018 [15:02:52] FPS: 3872, TICKS: 59
INFO: November 20, 2018 [15:02:53] FPS: 3774, TICKS: 60
INFO: November 20, 2018 [15:02:54] FPS: 3973, TICKS: 59
INFO: November 20, 2018 [15:02:55] FPS: 3763, TICKS: 60
INFO: November 20, 2018 [15:02:56] FPS: 3830, TICKS: 59
INFO: November 20, 2018 [15:02:57] FPS: 3790, TICKS: 60
INFO: November 20, 2018 [15:02:58] FPS: 3475, TICKS: 59
INFO: November 20, 2018 [15:02:59] FPS: 3646, TICKS: 60
INFO: November 20, 2018 [15:03:00] FPS: 3612, TICKS: 59
INFO: November 20, 2018 [15:03:01] FPS: 3857, TICKS: 60
INFO: November 20, 2018 [15:03:02] FPS: 4005, TICKS: 59
INFO: November 20, 2018 [15:03:03] FPS: 4099, TICKS: 60
INFO: November 20, 2018 [15:03:04] FPS: 4077, TICKS: 60
INFO: November 20, 2018 [15:03:05] FPS: 4131, TICKS: 59
INFO: November 20, 2018 [15:03:06] FPS: 4016, TICKS: 59
INFO: November 20, 2018 [15:03:07] FPS: 4101, TICKS: 60
INFO: November 20, 2018 [15:03:08] FPS: 4186, TICKS: 59
INFO: November 20, 2018 [15:03:09] FPS: 4232, TICKS: 60
INFO: November 20, 2018 [15:03:10] FPS: 4162, TICKS: 59
INFO: November 20, 2018 [15:03:11] FPS: 4138, TICKS: 59
INFO: November 20, 2018 [15:03:12] FPS: 4069, TICKS: 60
INFO: November 20, 2018 [15:03:13] FPS: 4146, TICKS: 60
INFO: November 20, 2018 [15:03:14] FPS: 4132, TICKS: 59
INFO: November 20, 2018 [15:03:15] FPS: 4226, TICKS: 59
INFO: November 20, 2018 [15:03:16] FPS: 4201, TICKS: 60
INFO: November 20, 2018 [15:03:17] FPS: 4124, TICKS: 59
INFO: November 20, 2018 [15:03:18] FPS: 4052, TICKS: 59
INFO: November 20, 2018 [15:03:19] FPS: 4024, TICKS: 60
INFO: November 20, 2018 [15:03:20] FPS: 4094, TICKS: 59
INFO: November 20, 2018 [15:03:21] FPS: 4116, TICKS: 60
INFO: November 20, 2018 [15:03:22] FPS: 4164, TICKS: 59
INFO: November 20, 2018 [15:03:23] FPS: 4105, TICKS: 60
INFO: November 20, 2018 [15:03:24] FPS: 3826, TICKS: 60
INFO: November 20, 2018 [15:03:25] FPS: 3889, TICKS: 59
INFO: November 20, 2018 [15:03:26] FPS: 3857, TICKS: 59
INFO: November 20, 2018 [15:03:27] FPS: 3959, TICKS: 60
INFO: November 20, 2018 [15:03:28] FPS: 4081, TICKS: 59
