INFO: November 20, 2018 [15:19:11] 4.0.0 NVIDIA 388.13
INFO: November 20, 2018 [15:19:13] FPS: 3656, TICKS: 55
INFO: November 20, 2018 [15:19:14] FPS: 4629, TICKS: 60
INFO: November 20, 2018 [15:19:15] FPS: 4754, TICKS: 59
INFO: November 20, 2018 [15:19:16] FPS: 4358, TICKS: 60
INFO: November 20, 2018 [15:19:17] FPS: 4642, TICKS: 59
INFO: November 20, 2018 [15:19:18] FPS: 4672, TICKS: 60
INFO: November 20, 2018 [15:19:19] FPS: 4563, TICKS: 60
INFO: November 20, 2018 [15:19:20] FPS: 4633, TICKS: 59
INFO: November 20, 2018 [15:19:21] FPS: 4661, TICKS: 60
INFO: November 20, 2018 [15:19:22] FPS: 4499, TICKS: 59
INFO: November 20, 2018 [15:19:23] FPS: 4632, TICKS: 60
INFO: November 20, 2018 [15:19:24] FPS: 4707, TICKS: 60
INFO: November 20, 2018 [15:19:25] FPS: 4675, TICKS: 59
INFO: November 20, 2018 [15:19:26] FPS: 4763, TICKS: 60
INFO: November 20, 2018 [15:19:27] FPS: 4688, TICKS: 60
INFO: November 20, 2018 [15:19:28] FPS: 4721, TICKS: 59
INFO: November 20, 2018 [15:19:29] FPS: 4734, TICKS: 60
INFO: November 20, 2018 [15:19:30] FPS: 4727, TICKS: 60
INFO: November 20, 2018 [15:19:31] FPS: 4674, TICKS: 59
INFO: November 20, 2018 [15:19:32] FPS: 4716, TICKS: 60
INFO: November 20, 2018 [15:19:33] FPS: 4666, TICKS: 59
INFO: November 20, 2018 [15:19:34] FPS: 4645, TICKS: 60
INFO: November 20, 2018 [15:19:35] FPS: 3815, TICKS: 60
INFO: November 20, 2018 [15:19:36] FPS: 4077, TICKS: 59
INFO: November 20, 2018 [15:19:37] FPS: 4675, TICKS: 60
