INFO: November 20, 2018 [18:18:40] 4.0.0 NVIDIA 388.13
INFO: November 20, 2018 [18:18:41] FPS: 3216, TICKS: 55
INFO: November 20, 2018 [18:18:42] FPS: 4094, TICKS: 59
INFO: November 20, 2018 [18:18:43] FPS: 3942, TICKS: 60
INFO: November 20, 2018 [18:18:44] FPS: 4063, TICKS: 59
INFO: November 20, 2018 [18:18:45] FPS: 4176, TICKS: 60
INFO: November 20, 2018 [18:18:46] FPS: 4049, TICKS: 59
INFO: November 20, 2018 [18:18:47] FPS: 3957, TICKS: 60
INFO: November 20, 2018 [18:18:48] FPS: 4213, TICKS: 59
INFO: November 20, 2018 [18:18:49] FPS: 4072, TICKS: 60
INFO: November 20, 2018 [18:18:50] FPS: 4166, TICKS: 59
INFO: November 20, 2018 [18:18:51] FPS: 4118, TICKS: 60
INFO: November 20, 2018 [18:18:52] FPS: 4256, TICKS: 59
INFO: November 20, 2018 [18:18:53] FPS: 4128, TICKS: 60
INFO: November 20, 2018 [18:18:54] FPS: 4129, TICKS: 59
INFO: November 20, 2018 [18:18:55] FPS: 4114, TICKS: 59
INFO: November 20, 2018 [18:18:56] FPS: 4240, TICKS: 60
INFO: November 20, 2018 [18:18:57] FPS: 4228, TICKS: 59
