INFO: November 20, 2018 [17:48:02] 4.0.0 NVIDIA 388.13
INFO: November 20, 2018 [17:48:03] FPS: 2790, TICKS: 54
INFO: November 20, 2018 [17:48:04] FPS: 3490, TICKS: 59
INFO: November 20, 2018 [17:48:05] FPS: 3578, TICKS: 60
INFO: November 20, 2018 [17:48:06] FPS: 3397, TICKS: 59
INFO: November 20, 2018 [17:48:07] FPS: 3570, TICKS: 59
INFO: November 20, 2018 [17:48:08] FPS: 3537, TICKS: 60
INFO: November 20, 2018 [17:48:09] FPS: 3591, TICKS: 59
INFO: November 20, 2018 [17:48:10] FPS: 3465, TICKS: 60
INFO: November 20, 2018 [17:48:11] FPS: 3517, TICKS: 59
INFO: November 20, 2018 [17:48:12] FPS: 3517, TICKS: 59
INFO: November 20, 2018 [17:48:13] FPS: 3473, TICKS: 60
INFO: November 20, 2018 [17:48:14] FPS: 3427, TICKS: 59
INFO: November 20, 2018 [17:48:15] FPS: 3480, TICKS: 60
INFO: November 20, 2018 [17:48:16] FPS: 3537, TICKS: 59
INFO: November 20, 2018 [17:48:17] FPS: 3435, TICKS: 60
