INFO: December 03, 2018 [23:53:52] 4.0.13537 Core Profile Forward-Compatible Context 24.20.13001.1010
INFO: December 03, 2018 [23:53:54] FPS: 1847, TICKS: 50
INFO: December 03, 2018 [23:53:55] FPS: 2544, TICKS: 59
INFO: December 03, 2018 [23:53:56] FPS: 2062, TICKS: 60
INFO: December 03, 2018 [23:53:57] FPS: 2154, TICKS: 59
INFO: December 03, 2018 [23:53:58] FPS: 2259, TICKS: 59
INFO: December 03, 2018 [23:53:59] FPS: 2392, TICKS: 60
INFO: December 03, 2018 [23:54:00] FPS: 1930, TICKS: 59
INFO: December 03, 2018 [23:54:01] FPS: 2056, TICKS: 59
INFO: December 03, 2018 [23:54:02] FPS: 2067, TICKS: 59
INFO: December 03, 2018 [23:54:03] FPS: 2144, TICKS: 59
INFO: December 03, 2018 [23:54:04] FPS: 2435, TICKS: 59
INFO: December 03, 2018 [23:54:05] FPS: 2272, TICKS: 59
INFO: December 03, 2018 [23:54:06] FPS: 2209, TICKS: 59
INFO: December 03, 2018 [23:54:07] FPS: 1900, TICKS: 59
INFO: December 03, 2018 [23:54:08] FPS: 1905, TICKS: 59
INFO: December 03, 2018 [23:54:09] FPS: 2146, TICKS: 59
INFO: December 03, 2018 [23:54:10] FPS: 2595, TICKS: 59
INFO: December 03, 2018 [23:54:11] FPS: 2458, TICKS: 59
INFO: December 03, 2018 [23:54:12] FPS: 2441, TICKS: 59
INFO: December 03, 2018 [23:54:13] FPS: 2112, TICKS: 59
INFO: December 03, 2018 [23:54:14] FPS: 2112, TICKS: 59
INFO: December 03, 2018 [23:54:15] FPS: 2111, TICKS: 59
INFO: December 03, 2018 [23:54:16] FPS: 2112, TICKS: 59
INFO: December 03, 2018 [23:54:17] FPS: 2113, TICKS: 58
INFO: December 03, 2018 [23:54:18] FPS: 2112, TICKS: 59
INFO: December 03, 2018 [23:54:19] FPS: 2112, TICKS: 59
INFO: December 03, 2018 [23:54:20] FPS: 2113, TICKS: 59
INFO: December 03, 2018 [23:54:21] FPS: 2112, TICKS: 59
INFO: December 03, 2018 [23:54:22] FPS: 2160, TICKS: 58
INFO: December 03, 2018 [23:54:23] FPS: 2484, TICKS: 59
INFO: December 03, 2018 [23:54:24] FPS: 2448, TICKS: 59
INFO: December 03, 2018 [23:54:25] FPS: 2493, TICKS: 59
INFO: December 03, 2018 [23:54:26] FPS: 2538, TICKS: 60
INFO: December 03, 2018 [23:54:27] FPS: 2243, TICKS: 59
INFO: December 03, 2018 [23:54:28] FPS: 2246, TICKS: 59
INFO: December 03, 2018 [23:54:29] FPS: 2237, TICKS: 59
INFO: December 03, 2018 [23:54:30] FPS: 2154, TICKS: 59
INFO: December 03, 2018 [23:54:31] FPS: 2128, TICKS: 59
INFO: December 03, 2018 [23:54:32] FPS: 2128, TICKS: 59
INFO: December 03, 2018 [23:54:33] FPS: 2128, TICKS: 59
INFO: December 03, 2018 [23:54:34] FPS: 2128, TICKS: 59
INFO: December 03, 2018 [23:54:35] FPS: 2127, TICKS: 59
INFO: December 03, 2018 [23:54:36] FPS: 2463, TICKS: 59
INFO: December 03, 2018 [23:54:37] FPS: 2541, TICKS: 60
INFO: December 03, 2018 [23:54:38] FPS: 2542, TICKS: 59
INFO: December 03, 2018 [23:54:39] FPS: 2542, TICKS: 59
INFO: December 03, 2018 [23:54:40] FPS: 2274, TICKS: 59
INFO: December 03, 2018 [23:54:41] FPS: 2475, TICKS: 59
INFO: December 03, 2018 [23:54:42] FPS: 2094, TICKS: 60
INFO: December 03, 2018 [23:54:43] FPS: 2089, TICKS: 59
INFO: December 03, 2018 [23:54:44] FPS: 2083, TICKS: 60
INFO: December 03, 2018 [23:54:45] FPS: 2491, TICKS: 59
INFO: December 03, 2018 [23:54:46] FPS: 2572, TICKS: 59
INFO: December 03, 2018 [23:54:47] FPS: 2598, TICKS: 60
INFO: December 03, 2018 [23:54:48] FPS: 2586, TICKS: 59
INFO: December 03, 2018 [23:54:49] FPS: 2577, TICKS: 59
