INFO: November 20, 2018 [14:59:45] 4.0.0 NVIDIA 388.13
INFO: November 20, 2018 [14:59:47] FPS: 3736, TICKS: 55
INFO: November 20, 2018 [14:59:48] FPS: 4614, TICKS: 60
INFO: November 20, 2018 [14:59:49] FPS: 4618, TICKS: 60
INFO: November 20, 2018 [14:59:50] FPS: 4563, TICKS: 59
INFO: November 20, 2018 [14:59:51] FPS: 4592, TICKS: 60
INFO: November 20, 2018 [14:59:52] FPS: 4589, TICKS: 59
INFO: November 20, 2018 [14:59:53] FPS: 4556, TICKS: 60
INFO: November 20, 2018 [14:59:54] FPS: 4594, TICKS: 60
INFO: November 20, 2018 [14:59:55] FPS: 4777, TICKS: 59
INFO: November 20, 2018 [14:59:56] FPS: 4892, TICKS: 60
INFO: November 20, 2018 [14:59:57] FPS: 4842, TICKS: 59
INFO: November 20, 2018 [14:59:58] FPS: 4563, TICKS: 60
