INFO: November 20, 2018 [17:51:08] 4.0.0 NVIDIA 388.13
INFO: November 20, 2018 [17:51:10] FPS: 2989, TICKS: 54
INFO: November 20, 2018 [17:51:11] FPS: 3802, TICKS: 60
INFO: November 20, 2018 [17:51:12] FPS: 4004, TICKS: 59
INFO: November 20, 2018 [17:51:13] FPS: 3851, TICKS: 60
INFO: November 20, 2018 [17:51:14] FPS: 3913, TICKS: 59
INFO: November 20, 2018 [17:51:15] FPS: 3886, TICKS: 60
INFO: November 20, 2018 [17:51:16] FPS: 3870, TICKS: 59
INFO: November 20, 2018 [17:51:17] FPS: 3919, TICKS: 60
INFO: November 20, 2018 [17:51:18] FPS: 3953, TICKS: 59
INFO: November 20, 2018 [17:51:19] FPS: 3899, TICKS: 60
INFO: November 20, 2018 [17:51:20] FPS: 4026, TICKS: 59
INFO: November 20, 2018 [17:51:21] FPS: 3885, TICKS: 60
