INFO: November 20, 2018 [18:19:34] 4.0.0 NVIDIA 388.13
INFO: November 20, 2018 [18:19:36] FPS: 3162, TICKS: 55
INFO: November 20, 2018 [18:19:37] FPS: 4037, TICKS: 59
INFO: November 20, 2018 [18:19:38] FPS: 4110, TICKS: 59
INFO: November 20, 2018 [18:19:39] FPS: 3981, TICKS: 59
INFO: November 20, 2018 [18:19:40] FPS: 4100, TICKS: 60
INFO: November 20, 2018 [18:19:41] FPS: 4107, TICKS: 59
INFO: November 20, 2018 [18:19:42] FPS: 4056, TICKS: 60
INFO: November 20, 2018 [18:19:43] FPS: 4149, TICKS: 59
INFO: November 20, 2018 [18:19:44] FPS: 4231, TICKS: 60
INFO: November 20, 2018 [18:19:45] FPS: 4098, TICKS: 59
