INFO: November 20, 2018 [18:01:41] 4.0.0 NVIDIA 388.13
INFO: November 20, 2018 [18:01:42] FPS: 3154, TICKS: 54
INFO: November 20, 2018 [18:01:43] FPS: 3951, TICKS: 59
INFO: November 20, 2018 [18:01:44] FPS: 3989, TICKS: 59
INFO: November 20, 2018 [18:01:45] FPS: 3893, TICKS: 60
INFO: November 20, 2018 [18:01:46] FPS: 4028, TICKS: 59
INFO: November 20, 2018 [18:01:47] FPS: 3990, TICKS: 60
INFO: November 20, 2018 [18:01:48] FPS: 4013, TICKS: 59
INFO: November 20, 2018 [18:01:49] FPS: 3912, TICKS: 60
INFO: November 20, 2018 [18:01:50] FPS: 3965, TICKS: 59
INFO: November 20, 2018 [18:01:51] FPS: 4011, TICKS: 59
INFO: November 20, 2018 [18:01:52] FPS: 3828, TICKS: 59
INFO: November 20, 2018 [18:01:53] FPS: 4003, TICKS: 60
INFO: November 20, 2018 [18:01:54] FPS: 3911, TICKS: 59
INFO: November 20, 2018 [18:01:55] FPS: 3940, TICKS: 60
INFO: November 20, 2018 [18:01:56] FPS: 3972, TICKS: 59
INFO: November 20, 2018 [18:01:57] FPS: 3769, TICKS: 60
INFO: November 20, 2018 [18:01:58] FPS: 3942, TICKS: 59
INFO: November 20, 2018 [18:01:59] FPS: 3902, TICKS: 60
INFO: November 20, 2018 [18:02:00] FPS: 3970, TICKS: 59
INFO: November 20, 2018 [18:02:01] FPS: 3951, TICKS: 59
INFO: November 20, 2018 [18:02:02] FPS: 3767, TICKS: 60
INFO: November 20, 2018 [18:02:03] FPS: 3964, TICKS: 59
INFO: November 20, 2018 [18:02:04] FPS: 3884, TICKS: 60
INFO: November 20, 2018 [18:02:05] FPS: 4006, TICKS: 59
INFO: November 20, 2018 [18:02:06] FPS: 3974, TICKS: 60
