INFO: November 20, 2018 [17:29:51] 4.0.0 NVIDIA 388.13
INFO: November 20, 2018 [17:29:53] FPS: 3481, TICKS: 55
INFO: November 20, 2018 [17:29:54] FPS: 4286, TICKS: 60
INFO: November 20, 2018 [17:29:55] FPS: 4431, TICKS: 59
INFO: November 20, 2018 [17:29:56] FPS: 4565, TICKS: 60
INFO: November 20, 2018 [17:29:57] FPS: 4551, TICKS: 60
INFO: November 20, 2018 [17:29:58] FPS: 4529, TICKS: 59
INFO: November 20, 2018 [17:29:59] FPS: 4531, TICKS: 60
INFO: November 20, 2018 [17:30:00] FPS: 4623, TICKS: 59
INFO: November 20, 2018 [17:30:01] FPS: 4586, TICKS: 60
INFO: November 20, 2018 [17:30:02] FPS: 4629, TICKS: 59
INFO: November 20, 2018 [17:30:03] FPS: 4432, TICKS: 60
INFO: November 20, 2018 [17:30:04] FPS: 4234, TICKS: 59
INFO: November 20, 2018 [17:30:05] FPS: 4424, TICKS: 60
INFO: November 20, 2018 [17:30:06] FPS: 4564, TICKS: 60
INFO: November 20, 2018 [17:30:07] FPS: 4616, TICKS: 59
INFO: November 20, 2018 [17:30:08] FPS: 4514, TICKS: 60
INFO: November 20, 2018 [17:30:09] FPS: 4442, TICKS: 59
INFO: November 20, 2018 [17:30:10] FPS: 4518, TICKS: 60
INFO: November 20, 2018 [17:30:11] FPS: 4537, TICKS: 60
INFO: November 20, 2018 [17:30:12] FPS: 4599, TICKS: 59
INFO: November 20, 2018 [17:30:13] FPS: 4628, TICKS: 60
INFO: November 20, 2018 [17:30:14] FPS: 4542, TICKS: 59
INFO: November 20, 2018 [17:30:15] FPS: 4454, TICKS: 60
INFO: November 20, 2018 [17:30:16] FPS: 4637, TICKS: 59
INFO: November 20, 2018 [17:30:17] FPS: 4600, TICKS: 60
INFO: November 20, 2018 [17:30:18] FPS: 4547, TICKS: 60
INFO: November 20, 2018 [17:30:19] FPS: 4504, TICKS: 59
INFO: November 20, 2018 [17:30:20] FPS: 4577, TICKS: 60
INFO: November 20, 2018 [17:30:21] FPS: 4498, TICKS: 60
INFO: November 20, 2018 [17:30:22] FPS: 4492, TICKS: 59
INFO: November 20, 2018 [17:30:23] FPS: 4542, TICKS: 60
INFO: November 20, 2018 [17:30:24] FPS: 4300, TICKS: 59
INFO: November 20, 2018 [17:30:25] FPS: 4544, TICKS: 60
