INFO: November 20, 2018 [13:47:03] 4.0.0 NVIDIA 388.13
INFO: November 20, 2018 [13:47:04] FPS: 3105, TICKS: 55
INFO: November 20, 2018 [13:47:05] FPS: 3775, TICKS: 59
INFO: November 20, 2018 [13:47:06] FPS: 3789, TICKS: 60
INFO: November 20, 2018 [13:47:07] FPS: 3864, TICKS: 59
INFO: November 20, 2018 [13:47:08] FPS: 3793, TICKS: 59
INFO: November 20, 2018 [13:47:09] FPS: 3880, TICKS: 60
INFO: November 20, 2018 [13:47:10] FPS: 3793, TICKS: 59
INFO: November 20, 2018 [13:47:11] FPS: 3852, TICKS: 60
INFO: November 20, 2018 [13:47:12] FPS: 3869, TICKS: 59
