INFO: November 20, 2018 [17:24:21] 4.0.0 NVIDIA 388.13
INFO: November 20, 2018 [17:24:23] FPS: 2439, TICKS: 45
INFO: November 20, 2018 [17:24:24] FPS: 3690, TICKS: 59
INFO: November 20, 2018 [17:24:25] FPS: 3995, TICKS: 60
INFO: November 20, 2018 [17:24:26] FPS: 4373, TICKS: 59
INFO: November 20, 2018 [17:24:27] FPS: 4499, TICKS: 60
INFO: November 20, 2018 [17:24:28] FPS: 4626, TICKS: 60
INFO: November 20, 2018 [17:24:29] FPS: 4629, TICKS: 59
INFO: November 20, 2018 [17:24:30] FPS: 4764, TICKS: 60
INFO: November 20, 2018 [17:24:31] FPS: 4768, TICKS: 59
INFO: November 20, 2018 [17:24:32] FPS: 4716, TICKS: 60
INFO: November 20, 2018 [17:24:33] FPS: 4136, TICKS: 60
INFO: November 20, 2018 [17:24:34] FPS: 4398, TICKS: 59
INFO: November 20, 2018 [17:24:35] FPS: 4368, TICKS: 60
INFO: November 20, 2018 [17:24:36] FPS: 4763, TICKS: 59
INFO: November 20, 2018 [17:24:37] FPS: 4717, TICKS: 60
INFO: November 20, 2018 [17:24:38] FPS: 4710, TICKS: 60
