INFO: November 20, 2018 [17:31:27] 4.0.0 NVIDIA 388.13
INFO: November 20, 2018 [17:31:29] FPS: 3105, TICKS: 55
INFO: November 20, 2018 [17:31:30] FPS: 3821, TICKS: 59
INFO: November 20, 2018 [17:31:31] FPS: 3667, TICKS: 60
INFO: November 20, 2018 [17:31:33] FPS: 2365, TICKS: 36
INFO: November 20, 2018 [17:31:34] FPS: 3935, TICKS: 60
INFO: November 20, 2018 [17:31:35] FPS: 3910, TICKS: 60
INFO: November 20, 2018 [17:31:36] FPS: 3965, TICKS: 59
INFO: November 20, 2018 [17:31:37] FPS: 4003, TICKS: 59
INFO: November 20, 2018 [17:31:38] FPS: 3945, TICKS: 60
INFO: November 20, 2018 [17:31:39] FPS: 3999, TICKS: 60
INFO: November 20, 2018 [17:31:40] FPS: 4022, TICKS: 59
INFO: November 20, 2018 [17:31:41] FPS: 3978, TICKS: 60
