INFO: November 20, 2018 [15:13:20] 4.0.0 NVIDIA 388.13
INFO: November 20, 2018 [15:13:22] FPS: 3719, TICKS: 54
INFO: November 20, 2018 [15:13:23] FPS: 4640, TICKS: 60
INFO: November 20, 2018 [15:13:24] FPS: 4684, TICKS: 59
INFO: November 20, 2018 [15:13:25] FPS: 4748, TICKS: 60
INFO: November 20, 2018 [15:13:26] FPS: 4658, TICKS: 59
INFO: November 20, 2018 [15:13:27] FPS: 4652, TICKS: 60
INFO: November 20, 2018 [15:13:28] FPS: 4708, TICKS: 59
INFO: November 20, 2018 [15:13:29] FPS: 4694, TICKS: 60
INFO: November 20, 2018 [15:13:30] FPS: 4608, TICKS: 60
INFO: November 20, 2018 [15:13:31] FPS: 4699, TICKS: 59
INFO: November 20, 2018 [15:13:32] FPS: 4730, TICKS: 60
INFO: November 20, 2018 [15:13:33] FPS: 4728, TICKS: 59
INFO: November 20, 2018 [15:13:34] FPS: 4624, TICKS: 60
INFO: November 20, 2018 [15:13:35] FPS: 4662, TICKS: 60
INFO: November 20, 2018 [15:13:36] FPS: 4683, TICKS: 59
INFO: November 20, 2018 [15:13:37] FPS: 4652, TICKS: 60
INFO: November 20, 2018 [15:13:38] FPS: 4663, TICKS: 59
INFO: November 20, 2018 [15:13:39] FPS: 4693, TICKS: 60
INFO: November 20, 2018 [15:13:40] FPS: 4699, TICKS: 60
INFO: November 20, 2018 [15:13:41] FPS: 4789, TICKS: 59
INFO: November 20, 2018 [15:13:42] FPS: 4747, TICKS: 60
INFO: November 20, 2018 [15:13:43] FPS: 4733, TICKS: 60
INFO: November 20, 2018 [15:13:44] FPS: 4283, TICKS: 59
INFO: November 20, 2018 [15:13:45] FPS: 4500, TICKS: 60
INFO: November 20, 2018 [15:13:46] FPS: 4701, TICKS: 59
INFO: November 20, 2018 [15:13:47] FPS: 4743, TICKS: 60
INFO: November 20, 2018 [15:13:48] FPS: 4769, TICKS: 60
INFO: November 20, 2018 [15:13:49] FPS: 4565, TICKS: 59
INFO: November 20, 2018 [15:13:50] FPS: 4683, TICKS: 60
INFO: November 20, 2018 [15:13:51] FPS: 4715, TICKS: 59
INFO: November 20, 2018 [15:13:52] FPS: 4648, TICKS: 60
INFO: November 20, 2018 [15:13:53] FPS: 4758, TICKS: 60
INFO: November 20, 2018 [15:13:54] FPS: 4744, TICKS: 59
INFO: November 20, 2018 [15:13:55] FPS: 4693, TICKS: 60
INFO: November 20, 2018 [15:13:56] FPS: 4771, TICKS: 59
INFO: November 20, 2018 [15:13:57] FPS: 4694, TICKS: 60
INFO: November 20, 2018 [15:13:58] FPS: 4737, TICKS: 60
INFO: November 20, 2018 [15:13:59] FPS: 4746, TICKS: 59
INFO: November 20, 2018 [15:14:00] FPS: 4683, TICKS: 60
INFO: November 20, 2018 [15:14:01] FPS: 4756, TICKS: 60
INFO: November 20, 2018 [15:14:02] FPS: 4771, TICKS: 59
INFO: November 20, 2018 [15:14:03] FPS: 4771, TICKS: 60
INFO: November 20, 2018 [15:14:04] FPS: 4652, TICKS: 59
INFO: November 20, 2018 [15:14:05] FPS: 4723, TICKS: 60
INFO: November 20, 2018 [15:14:06] FPS: 4712, TICKS: 60
INFO: November 20, 2018 [15:14:07] FPS: 4744, TICKS: 59
INFO: November 20, 2018 [15:14:08] FPS: 4767, TICKS: 60
INFO: November 20, 2018 [15:14:09] FPS: 4763, TICKS: 60
INFO: November 20, 2018 [15:14:10] FPS: 4769, TICKS: 59
INFO: November 20, 2018 [15:14:11] FPS: 4785, TICKS: 60
INFO: November 20, 2018 [15:14:12] FPS: 4765, TICKS: 59
INFO: November 20, 2018 [15:14:13] FPS: 4710, TICKS: 60
INFO: November 20, 2018 [15:14:14] FPS: 4758, TICKS: 60
INFO: November 20, 2018 [15:14:15] FPS: 4766, TICKS: 59
INFO: November 20, 2018 [15:14:16] FPS: 4450, TICKS: 59
INFO: November 20, 2018 [15:14:17] FPS: 4825, TICKS: 60
INFO: November 20, 2018 [15:14:18] FPS: 4757, TICKS: 59
INFO: November 20, 2018 [15:14:19] FPS: 4754, TICKS: 60
INFO: November 20, 2018 [15:14:20] FPS: 4768, TICKS: 60
INFO: November 20, 2018 [15:14:21] FPS: 4769, TICKS: 59
INFO: November 20, 2018 [15:14:22] FPS: 4809, TICKS: 60
