INFO: November 20, 2018 [15:27:01] 4.0.0 NVIDIA 388.13
INFO: November 20, 2018 [15:27:03] FPS: 3694, TICKS: 55
INFO: November 20, 2018 [15:27:04] FPS: 4440, TICKS: 60
INFO: November 20, 2018 [15:27:05] FPS: 4591, TICKS: 59
INFO: November 20, 2018 [15:27:06] FPS: 4579, TICKS: 60
INFO: November 20, 2018 [15:27:07] FPS: 4525, TICKS: 59
INFO: November 20, 2018 [15:27:08] FPS: 4605, TICKS: 60
INFO: November 20, 2018 [15:27:09] FPS: 4550, TICKS: 59
INFO: November 20, 2018 [15:27:10] FPS: 4454, TICKS: 60
INFO: November 20, 2018 [15:27:11] FPS: 4619, TICKS: 59
INFO: November 20, 2018 [15:27:12] FPS: 4583, TICKS: 60
