INFO: November 20, 2018 [15:15:35] 4.0.0 NVIDIA 388.13
INFO: November 20, 2018 [15:15:36] FPS: 3397, TICKS: 56
INFO: November 20, 2018 [15:15:37] FPS: 4105, TICKS: 59
INFO: November 20, 2018 [15:15:38] FPS: 4137, TICKS: 60
INFO: November 20, 2018 [15:15:39] FPS: 4078, TICKS: 59
INFO: November 20, 2018 [15:15:40] FPS: 4038, TICKS: 60
INFO: November 20, 2018 [15:15:41] FPS: 4027, TICKS: 59
INFO: November 20, 2018 [15:15:42] FPS: 3981, TICKS: 60
INFO: November 20, 2018 [15:15:43] FPS: 4135, TICKS: 60
INFO: November 20, 2018 [15:15:44] FPS: 4126, TICKS: 59
INFO: November 20, 2018 [15:15:45] FPS: 4177, TICKS: 60
INFO: November 20, 2018 [15:15:46] FPS: 4105, TICKS: 59
INFO: November 20, 2018 [15:15:47] FPS: 4165, TICKS: 60
INFO: November 20, 2018 [15:15:48] FPS: 4176, TICKS: 59
INFO: November 20, 2018 [15:15:49] FPS: 3930, TICKS: 59
INFO: November 20, 2018 [15:15:50] FPS: 4154, TICKS: 60
INFO: November 20, 2018 [15:15:51] FPS: 4153, TICKS: 59
INFO: November 20, 2018 [15:15:52] FPS: 4212, TICKS: 60
INFO: November 20, 2018 [15:15:53] FPS: 4158, TICKS: 59
INFO: November 20, 2018 [15:15:54] FPS: 4167, TICKS: 60
INFO: November 20, 2018 [15:15:55] FPS: 4173, TICKS: 59
INFO: November 20, 2018 [15:15:56] FPS: 4180, TICKS: 60
INFO: November 20, 2018 [15:15:57] FPS: 4146, TICKS: 59
INFO: November 20, 2018 [15:15:58] FPS: 4159, TICKS: 60
INFO: November 20, 2018 [15:15:59] FPS: 4136, TICKS: 59
INFO: November 20, 2018 [15:16:00] FPS: 4115, TICKS: 60
INFO: November 20, 2018 [15:16:01] FPS: 4123, TICKS: 60
